,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
,,,,,,,,,,,,,,,
180,361,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,500,3.512
,,,,,,,,,,,,,,,
181,362,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,500,2.674
,,,,,,,,,,,,,,,
182,363,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,500,3.714
,,,,,,,,,,,,,,,
183,364,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,500,3.512
,,,,,,,,,,,,,,,
184,365,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,40,500,2.015
,,,,,,,,,,,,,,,
185,366,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,40,500,2.14
,,,,,,,,,,,,,,,
186,367,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,60,500,1.504
,,,,,,,,,,,,,,,
187,368,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,60,500,1.504
,,,,,,,,,,,,,,,
188,369,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,500,1.386
,,,,,,,,,,,,,,,
189,370,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,500,1.792
,,,,,,,,,,,,,,,
190,371,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,500,0.916
,,,,,,,,,,,,,,,
191,372,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,500,1.872
,,,,,,,,,,,,,,,
192,373,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,500,1.609
,,,,,,,,,,,,,,,
193,374,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,500,3.114
,,,,,,,,,,,,,,,
194,375,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,500,2.442
,,,,,,,,,,,,,,,
195,376,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,500,2.14
,,,,,,,,,,,,,,,
196,377,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,40,500,1.609
,,,,,,,,,,,,,,,
197,378,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,40,500,1.946
,,,,,,,,,,,,,,,
198,379,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,60,500,1.099
,,,,,,,,,,,,,,,
199,380,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,60,500,1.099
,,,,,,,,,,,,,,,
200,381,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,500,0.693
,,,,,,,,,,,,,,,
201,382,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,500,0.693
,,,,,,,,,,,,,,,
