,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta
405,1,0,12.515,52.6,0,4,36,2,4,10,80,500,138.7666667,15.56666667
406,1,0,12.515,52.6,0,4,36,2,8,10,80,500,143.8333333,18.4
408,1,0,12.515,52.6,0,4,36,2,4,1,20,500,137.3,19.9
409,1,0,12.515,52.6,0,4,36,2,8,1,20,500,899.4,16.3
410,1,0,12.515,52.6,0,4,36,2,12,1,20,500,158.2333333,12.23333333
411,1,0,12.515,52.6,0,4,36,2,4,1,40,500,214.0333333,5.41
412,1,0,12.515,52.6,0,4,36,2,8,1,40,500,173.5,22.13333333
414,1,0,12.515,52.6,0,4,36,2,4,1,60,500,218.4,22.4
415,1,0,12.515,52.6,0,4,36,2,8,1,60,500,152.1333333,23.5
416,1,0,12.515,52.6,0,4,36,2,12,1,60,500,101.8666667,21.46666667
417,1,0,12.515,52.6,0,4,36,2,4,1,80,500,200.6,12.93333333
418,1,0,12.515,52.6,0,4,36,2,8,1,80,500,133.7333333,31.5
420,1,0,12.515,52.6,0,4,36,2,4,200,20,100,2056.666667,-27.6
421,1,0,12.515,52.6,0,4,36,2,8,200,20,100,576.1666667,-2.563333333
422,1,0,12.515,52.6,0,4,36,2,12,200,20,100,453.7333333,1.926666667
423,1,0,12.515,52.6,0,4,36,2,4,200,40,100,157.1,-3.873333333
425,1,0,12.515,52.6,0,4,36,2,12,200,40,100,154.0333333,-2.93
426,1,0,12.515,52.6,0,4,36,2,4,200,60,100,187.9,-3.706666667
427,1,0,12.515,52.6,0,4,36,2,8,200,60,100,151.0666667,-1.271
428,1,0,12.515,52.6,0,4,36,2,12,200,60,100,165.1666667,4.56
429,1,0,12.515,52.6,0,4,36,2,4,200,80,100,152.2,1.253333333
430,1,0,12.515,52.6,0,4,36,2,8,200,80,100,143.4666667,4.306666667
431,1,0,12.515,52.6,0,4,36,2,12,200,80,100,119.9666667,3.433333333
433,1,0,12.515,52.6,0,4,36,2,8,100,20,100,115.6666667,3.27
434,1,0,12.515,52.6,0,4,36,2,12,100,20,100,388.5666667,-0.77
435,1,0,12.515,52.6,0,4,36,2,4,100,40,100,176.5,-3.76
436,1,0,12.515,52.6,0,4,36,2,8,100,40,100,214.0333333,-3.076666667
437,1,0,12.515,52.6,0,4,36,2,12,100,40,100,199.2,-2.876666667
438,1,0,12.515,52.6,0,4,36,2,4,100,60,100,182.5333333,-2.633333333
439,1,0,12.515,52.6,0,4,36,2,8,100,60,100,155.6333333,-2.463333333
440,1,0,12.515,52.6,0,4,36,2,12,100,60,100,181.7,2.173333333
441,1,0,12.515,52.6,0,4,36,2,4,100,80,100,175.7,-1.211333333
442,1,0,12.515,52.6,0,4,36,2,8,100,80,100,162.9666667,2.933333333
443,1,0,12.515,52.6,0,4,36,2,12,100,80,100,128.4666667,3.573333333
445,1,0,12.515,52.6,0,4,36,2,8,50,20,100,139.2,1.826666667
447,1,0,12.515,52.6,0,4,36,2,4,50,40,100,162.2333333,-3.646666667
448,1,0,12.515,52.6,0,4,36,2,8,50,40,100,223.1333333,-2.73
450,1,0,12.515,52.6,0,4,36,2,4,50,60,100,207.0333333,-5.89
451,1,0,12.515,52.6,0,4,36,2,8,50,60,100,154.4666667,-0.982333333
