Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_B16
107,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,1.5
108,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,1.609
109,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,1.705
110,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,1.5
111,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,1.5
112,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,1.504
113,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,1.5
114,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,1.5
115,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,2.015
116,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,1.609
117,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,1.5
118,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,1.5
119,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,1.609
120,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,1.5
121,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,1.504
122,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,1.5
123,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,2.015
124,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,1.504
125,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,1.5
126,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,1.792
127,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,1.5
128,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,1.5
129,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,1.5
130,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,1.5
131,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,1.5
132,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,1.5
133,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,1.5
134,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,1.5
135,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,1.5
136,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,1.5
137,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,1.5
138,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,1.5
139,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,1.5
140,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,1.5
141,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,1.5
142,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,1.5
143,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,1.5
144,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,1.504
145,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,1.504
146,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,1.5
147,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,1.5
148,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,1.5
149,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,1.504
150,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,1.5
151,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,1.5
152,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,1.5
153,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,1.609
154,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,1.5
155,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,1.609
156,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,1.5
157,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,1.5
158,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,1.5
159,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,1.5
160,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,1.5
161,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,1.5
162,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,1.504
163,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,1.5
164,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,1.5
