,LGBM,XGB,RF,kNN,DT,lasso,MLR,PLS
179,0.12921387437050436,0.11520040180416707,0.2118750852776642,0.1719024105933552,0.19008391322144902,0.39130741205770514,0.29125683066500946,0.28878624707620787
180,0.21158308773358492,0.20084464689087683,0.29725542365943525,0.2800718349236906,0.45507572656569795,0.4067812181157419,0.41506518702095335,0.41237946036744577
181,0.08256427666693472,0.07414281753746149,0.21397155137126456,0.08618814844566702,0.047022103970528056,0.22537020881964814,0.2198549841205371,0.2265147275724182
182,0.03488927638798717,0.008968094419466943,0.04259414654113819,0.1322669481492071,0.3190237413016783,0.045306591284793196,0.0027837565946046694,0.002146345647539516
183,0.04085520182688607,0.0058311370860539835,0.07886853595306353,0.25270581598861,0.14081047891936127,0.19075261205733363,0.15674617843569394,0.14933819887819133
184,0.06352360807796498,0.07808583891884596,0.17456133169600202,0.17073674475715983,0.20154523127302498,0.20993786524163593,0.16950321874574348,0.174397342657778
185,0.21332207416725196,0.19049382739217374,0.2628533906399234,0.20022295704699383,0.038630781825624155,0.24257049706977646,0.25049116185550285,0.25659937401724375
186,0.0578100167591008,0.15065056434479884,0.0460820030017729,0.14459606339294317,0.20261972984036025,0.0969122007385349,0.04951713017605097,0.04552045239962732
187,0.009141527714815412,0.012202904805559356,0.11346397871469455,0.026185130323164052,0.1118501841997544,0.09819445599926663,0.14499809944222647,0.1504218708507919
188,0.02779449804357248,0.10699252720207064,0.03044821940237319,0.05721233963115868,0.136358984854687,0.0722013061711968,0.04623200772652514,0.043378449854328205
189,0.11534182172430618,0.06937177418881735,0.07008834765998107,0.31158442836945277,0.18522308636921825,0.051200798984552875,0.022136403435388474,0.018037131087787928
190,0.22446631874727963,0.24345364094366073,0.23112395961249865,0.24908591349351172,0.23050552599263197,0.3827908137754798,0.28536561008716943,0.28348278969356633
191,0.1045159019054509,0.15177861918595004,0.07780256515213468,0.06274464454139461,0.06385591485878028,0.13429114716625834,0.05037068795848321,0.04611638716278166
192,0.08935898570411793,0.11571066768941352,0.057654523127301904,0.01806444897704529,0.07383340155546447,0.0553014097877671,0.0036416537945048733,0.006585038271988197
193,0.023386332272487986,0.022072136646111407,0.007298062491471802,0.09210382350203561,0.17243143675808414,0.2015431746915491,0.10493259086635087,0.10122067047358296
194,0.004457427870536934,0.005455919064511372,0.000791035611951485,0.03760734568516455,0.0862668849774868,0.0998855049037618,0.04680218405364922,0.041982771678392705
195,0.10547316181161648,0.14855442738074331,0.10327705007504506,0.05458242533252933,0.3334527220630372,0.0035603323544524113,0.08927667399366213,0.09201752087178106
