,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta,RLU_HepG2
403,1.0,0.0,2.0,8.0,10.0,60.0,500.0,15.33333333,0.5012214398620491
404,1.0,0.0,2.0,12.0,10.0,60.0,500.0,20.86666667,0.6371605115677541
405,1.0,0.0,2.0,4.0,10.0,80.0,500.0,15.56666667,0.49734157206495183
406,1.0,0.0,2.0,8.0,10.0,80.0,500.0,18.4,0.4967667768357524
408,1.0,0.0,2.0,4.0,1.0,20.0,500.0,19.9,0.5308233941658285
409,1.0,0.0,2.0,8.0,1.0,20.0,500.0,16.3,0.14154332519040091
410,1.0,0.0,2.0,12.0,1.0,20.0,500.0,12.23333333,0.14154332519040091
411,1.0,0.0,2.0,4.0,1.0,40.0,500.0,5.41,0.14154332519040091
412,1.0,0.0,2.0,8.0,1.0,40.0,500.0,22.13333333,0.14154332519040091
414,1.0,0.0,2.0,4.0,1.0,60.0,500.0,22.4,0.14154332519040091
415,1.0,0.0,2.0,8.0,1.0,60.0,500.0,23.5,0.14154332519040091
416,1.0,0.0,2.0,12.0,1.0,60.0,500.0,21.46666667,0.14154332519040091
417,1.0,0.0,2.0,4.0,1.0,80.0,500.0,12.93333333,0.14154332519040091
418,1.0,0.0,2.0,8.0,1.0,80.0,500.0,31.5,0.14154332519040091
420,1.0,0.0,2.0,4.0,200.0,20.0,100.0,-27.6,0.14154332519040091
421,1.0,0.0,2.0,8.0,200.0,20.0,100.0,-2.563333333,0.14154332519040091
422,1.0,0.0,2.0,12.0,200.0,20.0,100.0,1.926666667,0.14154332519040091
423,1.0,0.0,2.0,4.0,200.0,40.0,100.0,-3.873333333,0.14154332519040091
425,1.0,0.0,2.0,12.0,200.0,40.0,100.0,-2.93,0.14154332519040091
426,1.0,0.0,2.0,4.0,200.0,60.0,100.0,-3.706666667,0.14154332519040091
427,1.0,0.0,2.0,8.0,200.0,60.0,100.0,-1.271,0.14154332519040091
428,1.0,0.0,2.0,12.0,200.0,60.0,100.0,4.56,0.14154332519040091
429,1.0,0.0,2.0,4.0,200.0,80.0,100.0,1.253333333,0.14154332519040091
430,1.0,0.0,2.0,8.0,200.0,80.0,100.0,4.306666667,0.14154332519040091
431,1.0,0.0,2.0,12.0,200.0,80.0,100.0,3.433333333,0.14154332519040091
433,1.0,0.0,2.0,8.0,100.0,20.0,100.0,3.27,0.14154332519040091
434,1.0,0.0,2.0,12.0,100.0,20.0,100.0,-0.77,0.14154332519040091
435,1.0,0.0,2.0,4.0,100.0,40.0,100.0,-3.76,0.14154332519040091
436,1.0,0.0,2.0,8.0,100.0,40.0,100.0,-3.076666667,0.14154332519040091
437,1.0,0.0,2.0,12.0,100.0,40.0,100.0,-2.876666667,0.14154332519040091
438,1.0,0.0,2.0,4.0,100.0,60.0,100.0,-2.633333333,0.14154332519040091
439,1.0,0.0,2.0,8.0,100.0,60.0,100.0,-2.463333333,0.14154332519040091
440,1.0,0.0,2.0,12.0,100.0,60.0,100.0,2.173333333,0.14154332519040091
441,1.0,0.0,2.0,4.0,100.0,80.0,100.0,-1.211333333,0.14154332519040091
442,1.0,0.0,2.0,8.0,100.0,80.0,100.0,2.933333333,0.14154332519040091
443,1.0,0.0,2.0,12.0,100.0,80.0,100.0,3.573333333,0.10892369593332374
445,1.0,0.0,2.0,8.0,50.0,20.0,100.0,1.826666667,0.14154332519040091
447,1.0,0.0,2.0,4.0,50.0,40.0,100.0,-3.646666667,0.02615318292858171
448,1.0,0.0,2.0,8.0,50.0,40.0,100.0,-2.73,0.14154332519040091
450,1.0,0.0,2.0,4.0,50.0,60.0,100.0,-5.89,0.14154332519040091
451,1.0,0.0,2.0,8.0,50.0,60.0,100.0,-0.982333333,0.14154332519040091
452,1.0,0.0,2.0,12.0,50.0,60.0,100.0,3.386666667,0.15461991665469177
453,1.0,0.0,2.0,4.0,50.0,80.0,100.0,2.24,0.02615318292858171
454,1.0,0.0,2.0,8.0,50.0,80.0,100.0,1.28,0.2606696364420175
455,1.0,0.0,2.0,12.0,50.0,80.0,100.0,2.923333333,0.14154332519040091
460,1.0,0.0,2.0,8.0,10.0,40.0,100.0,-2.403333333,0.14154332519040091
461,1.0,0.0,2.0,12.0,10.0,40.0,100.0,-2.746666667,0.14154332519040091
462,1.0,0.0,2.0,4.0,10.0,60.0,100.0,-1.385333333,0.14154332519040091
463,1.0,0.0,2.0,8.0,10.0,60.0,100.0,-0.514,0.14154332519040091
464,1.0,0.0,2.0,12.0,10.0,60.0,100.0,2.373333333,0.14154332519040091
465,1.0,0.0,2.0,4.0,10.0,80.0,100.0,-0.684,0.14154332519040091
466,1.0,0.0,2.0,8.0,10.0,80.0,100.0,2.273333333,0.041385256502371015
467,1.0,0.0,2.0,12.0,10.0,80.0,100.0,4.91,0.14154332519040091
469,1.0,0.0,2.0,8.0,1.0,20.0,100.0,4.226666667,0.009196723667193596
471,1.0,0.0,2.0,4.0,1.0,40.0,100.0,-3.153333333,0.14154332519040091
473,1.0,0.0,2.0,12.0,1.0,40.0,100.0,-1.543333333,0.14154332519040091
474,1.0,0.0,2.0,4.0,1.0,60.0,100.0,-2.55,0.14154332519040091
475,1.0,0.0,2.0,8.0,1.0,60.0,100.0,0.63,0.14154332519040091
476,1.0,0.0,2.0,12.0,1.0,60.0,100.0,6.336666667,0.14154332519040091
477,1.0,0.0,2.0,4.0,1.0,80.0,100.0,6.34,0.14154332519040091
478,1.0,0.0,2.0,8.0,1.0,80.0,100.0,12.86666667,0.009196723667193596
479,1.0,0.0,2.0,12.0,1.0,80.0,100.0,6.843333333,0.14154332519040091
481,1.0,0.0,2.0,8.0,200.0,20.0,10.0,-2.966666667,0.14154332519040091
483,1.0,0.0,2.0,4.0,200.0,40.0,10.0,-1.186666667,0.14154332519040091
484,1.0,0.0,2.0,8.0,200.0,40.0,10.0,-3.813333333,0.14154332519040091
487,1.0,0.0,2.0,8.0,200.0,60.0,10.0,-9.57,0.14154332519040091
488,1.0,0.0,2.0,12.0,200.0,60.0,10.0,-1.092,0.14154332519040091
489,1.0,0.0,2.0,4.0,200.0,80.0,10.0,-1.492333333,0.14154332519040091
490,1.0,0.0,2.0,8.0,200.0,80.0,10.0,-1.123,0.11754562437131771
491,1.0,0.0,2.0,12.0,200.0,80.0,10.0,-0.810666667,0.14154332519040091
495,1.0,0.0,2.0,4.0,100.0,40.0,10.0,-1.833333333,0.14154332519040091
496,1.0,0.0,2.0,8.0,100.0,40.0,10.0,-6.416666667,0.14154332519040091
499,1.0,0.0,2.0,8.0,100.0,60.0,10.0,-9.726666667,0.10892369593332374
500,1.0,0.0,2.0,12.0,100.0,60.0,10.0,-1.077,0.009196723667193596
501,1.0,0.0,2.0,4.0,100.0,80.0,10.0,-2.533333333,0.5078315849978445
502,1.0,0.0,2.0,8.0,100.0,80.0,10.0,-0.168,0.3693059347607415
503,1.0,0.0,2.0,12.0,100.0,80.0,10.0,-0.043,0.3168558700962782
507,1.0,0.0,2.0,4.0,50.0,40.0,10.0,-0.863666667,0.33654260669636443
508,1.0,0.0,2.0,8.0,50.0,40.0,10.0,-7.106666667,0.2062077884753557
510,1.0,0.0,2.0,4.0,50.0,60.0,10.0,-22.2,0.25420319011352205
511,1.0,0.0,2.0,8.0,50.0,60.0,10.0,-14.66666667,0.4489150740048858
512,1.0,0.0,2.0,12.0,50.0,60.0,10.0,-1.203333333,0.14154332519040091
513,1.0,0.0,2.0,4.0,50.0,80.0,10.0,-2.56,0.14154332519040091
514,1.0,0.0,2.0,8.0,50.0,80.0,10.0,-0.0463,0.14154332519040091
515,1.0,0.0,2.0,12.0,50.0,80.0,10.0,-0.131666667,0.14154332519040091
516,1.0,0.0,2.0,4.0,10.0,20.0,10.0,-1.79,0.14154332519040091
519,1.0,0.0,2.0,4.0,10.0,40.0,10.0,-0.88,0.14154332519040091
520,1.0,0.0,2.0,8.0,10.0,40.0,10.0,-13.16666667,0.14154332519040091
523,1.0,0.0,2.0,8.0,10.0,60.0,10.0,-9.383333333,0.14154332519040091
524,1.0,0.0,2.0,12.0,10.0,60.0,10.0,-1.427,0.14154332519040091
525,1.0,0.0,2.0,4.0,10.0,80.0,10.0,-2.843333333,0.14154332519040091
526,1.0,0.0,2.0,8.0,10.0,80.0,10.0,0.044333333,0.14154332519040091
527,1.0,0.0,2.0,12.0,10.0,80.0,10.0,-0.3501,0.14154332519040091
528,1.0,0.0,2.0,4.0,1.0,20.0,10.0,-2.13,0.14154332519040091
529,1.0,0.0,2.0,8.0,1.0,20.0,10.0,-0.929,0.14154332519040091
530,1.0,0.0,2.0,12.0,1.0,20.0,10.0,-0.883333333,0.14154332519040091
531,1.0,0.0,2.0,4.0,1.0,40.0,10.0,-1.0292,0.14154332519040091
532,1.0,0.0,2.0,8.0,1.0,40.0,10.0,-6.423333333,0.14154332519040091
536,1.0,0.0,2.0,12.0,1.0,60.0,10.0,-1.237,0.14154332519040091
537,1.0,0.0,2.0,4.0,1.0,80.0,10.0,-0.065666667,0.14154332519040091
538,1.0,0.0,2.0,8.0,1.0,80.0,10.0,2.526666667,0.14154332519040091
539,1.0,0.0,2.0,12.0,1.0,80.0,10.0,1.341666667,0.14154332519040091
540,1.0,1.0,0.0,4.0,200.0,20.0,500.0,-20.0,0.14154332519040091
541,1.0,1.0,0.0,8.0,200.0,20.0,500.0,-2.833333333,0.14154332519040091
542,1.0,1.0,0.0,12.0,200.0,20.0,500.0,-0.537666667,0.14154332519040091
543,1.0,1.0,0.0,4.0,200.0,40.0,500.0,-0.144176667,0.14154332519040091
544,1.0,1.0,0.0,8.0,200.0,40.0,500.0,-1.186333333,0.0
545,1.0,1.0,0.0,12.0,200.0,40.0,500.0,-1.356666667,0.14154332519040091
546,1.0,1.0,0.0,4.0,200.0,60.0,500.0,-2.03,0.14154332519040091
547,1.0,1.0,0.0,8.0,200.0,60.0,500.0,0.105433333,0.14154332519040091
548,1.0,1.0,0.0,12.0,200.0,60.0,500.0,0.3688,0.14154332519040091
549,1.0,1.0,0.0,4.0,200.0,80.0,500.0,-2.123333333,0.14154332519040091
550,1.0,1.0,0.0,8.0,200.0,80.0,500.0,1.007666667,0.14154332519040091
551,1.0,1.0,0.0,12.0,200.0,80.0,500.0,-0.358366667,0.14154332519040091
552,1.0,1.0,0.0,4.0,100.0,20.0,500.0,-7.156666667,0.14154332519040091
553,1.0,1.0,0.0,8.0,100.0,20.0,500.0,-7.346666667,0.14154332519040091
554,1.0,1.0,0.0,12.0,100.0,20.0,500.0,-1.173666667,0.14154332519040091
555,1.0,1.0,0.0,4.0,100.0,40.0,500.0,-0.223666667,0.0
558,1.0,1.0,0.0,4.0,100.0,60.0,500.0,1.45,0.14154332519040091
559,1.0,1.0,0.0,8.0,100.0,60.0,500.0,2.546666667,0.14154332519040091
560,1.0,1.0,0.0,12.0,100.0,60.0,500.0,2.25,0.14154332519040091
561,1.0,1.0,0.0,4.0,100.0,80.0,500.0,-5.656666667,0.14154332519040091
562,1.0,1.0,0.0,8.0,100.0,80.0,500.0,-0.2858,0.14154332519040091
563,1.0,1.0,0.0,12.0,100.0,80.0,500.0,3.186666667,0.14154332519040091
564,1.0,1.0,0.0,4.0,50.0,20.0,500.0,3.713333333,0.14154332519040091
565,1.0,1.0,0.0,8.0,50.0,20.0,500.0,-4.73,0.14154332519040091
566,1.0,1.0,0.0,12.0,50.0,20.0,500.0,-2.64,0.14154332519040091
567,1.0,1.0,0.0,4.0,50.0,40.0,500.0,1.836666667,0.14154332519040091
568,1.0,1.0,0.0,8.0,50.0,40.0,500.0,5.443333333,0.14154332519040091
569,1.0,1.0,0.0,12.0,50.0,40.0,500.0,-1.491333333,0.14154332519040091
570,1.0,1.0,0.0,4.0,50.0,60.0,500.0,-1.055666667,0.14154332519040091
571,1.0,1.0,0.0,8.0,50.0,60.0,500.0,4.203333333,0.033912918522776225
572,1.0,1.0,0.0,12.0,50.0,60.0,500.0,0.894,0.14154332519040091
573,1.0,1.0,0.0,4.0,50.0,80.0,500.0,-0.884,0.14154332519040091
574,1.0,1.0,0.0,8.0,50.0,80.0,500.0,-0.851,0.14154332519040091
575,1.0,1.0,0.0,12.0,50.0,80.0,500.0,2.053333333,0.14154332519040091
576,1.0,1.0,0.0,4.0,10.0,20.0,500.0,-15.63333333,0.14154332519040091
577,1.0,1.0,0.0,8.0,10.0,20.0,500.0,-3.236666667,0.14154332519040091
578,1.0,1.0,0.0,12.0,10.0,20.0,500.0,-2.386666667,0.14154332519040091
579,1.0,1.0,0.0,4.0,10.0,40.0,500.0,-1.123333333,0.14154332519040091
580,1.0,1.0,0.0,8.0,10.0,40.0,500.0,0.326666667,0.14154332519040091
581,1.0,1.0,0.0,12.0,10.0,40.0,500.0,6.206666667,0.14154332519040091
582,1.0,1.0,0.0,4.0,10.0,60.0,500.0,-2.076666667,0.14154332519040091
583,1.0,1.0,0.0,8.0,10.0,60.0,500.0,1.556666667,0.14154332519040091
584,1.0,1.0,0.0,12.0,10.0,60.0,500.0,-0.4172,0.14154332519040091
585,1.0,1.0,0.0,4.0,10.0,80.0,500.0,-2.526666667,0.14154332519040091
586,1.0,1.0,0.0,8.0,10.0,80.0,500.0,-0.499666667,0.14154332519040091
587,1.0,1.0,0.0,12.0,10.0,80.0,500.0,-0.839666667,0.14154332519040091
588,1.0,1.0,0.0,4.0,1.0,20.0,500.0,-2.03,0.14154332519040091
590,1.0,1.0,0.0,12.0,1.0,20.0,500.0,0.513666667,0.14154332519040091
591,1.0,1.0,0.0,4.0,1.0,40.0,500.0,0.588,0.14154332519040091
592,1.0,1.0,0.0,8.0,1.0,40.0,500.0,1.082333333,0.14154332519040091
593,1.0,1.0,0.0,12.0,1.0,40.0,500.0,1.406666667,0.14154332519040091
594,1.0,1.0,0.0,4.0,1.0,60.0,500.0,0.446333333,0.14154332519040091
595,1.0,1.0,0.0,8.0,1.0,60.0,500.0,5.146666667,0.14154332519040091
596,1.0,1.0,0.0,12.0,1.0,60.0,500.0,2.226666667,0.14154332519040091
597,1.0,1.0,0.0,4.0,1.0,80.0,500.0,-8.26,0.14154332519040091
598,1.0,1.0,0.0,8.0,1.0,80.0,500.0,-1.306,0.14154332519040091
599,1.0,1.0,0.0,12.0,1.0,80.0,500.0,1.663666667,0.14154332519040091
600,1.0,1.0,0.0,4.0,200.0,20.0,100.0,-4.956666667,0.14154332519040091
601,1.0,1.0,0.0,8.0,200.0,20.0,100.0,-3.503333333,0.14154332519040091
602,1.0,1.0,0.0,12.0,200.0,20.0,100.0,-2.953333333,0.14154332519040091
603,1.0,1.0,0.0,4.0,200.0,40.0,100.0,-3.166666667,0.14154332519040091
604,1.0,1.0,0.0,8.0,200.0,40.0,100.0,2.283333333,0.14154332519040091
605,1.0,1.0,0.0,12.0,200.0,40.0,100.0,2.306666667,0.14154332519040091
606,1.0,1.0,0.0,4.0,200.0,60.0,100.0,-1.85,0.14154332519040091
607,1.0,1.0,0.0,8.0,200.0,60.0,100.0,0.132760333,0.14154332519040091
608,1.0,1.0,0.0,12.0,200.0,60.0,100.0,-0.077333333,0.14154332519040091
609,1.0,1.0,0.0,4.0,200.0,80.0,100.0,-4.35,0.14154332519040091
610,1.0,1.0,0.0,8.0,200.0,80.0,100.0,-1.425333333,0.14154332519040091
611,1.0,1.0,0.0,12.0,200.0,80.0,100.0,-0.192333333,0.14154332519040091
612,1.0,1.0,0.0,4.0,100.0,20.0,100.0,-4.316666667,0.14154332519040091
614,1.0,1.0,0.0,12.0,100.0,20.0,100.0,2.13,0.14154332519040091
615,1.0,1.0,0.0,4.0,100.0,40.0,100.0,-2.493333333,0.0
616,1.0,1.0,0.0,8.0,100.0,40.0,100.0,-0.763333333,0.125736456387412
617,1.0,1.0,0.0,12.0,100.0,40.0,100.0,3.32,0.12171288978301481
618,1.0,1.0,0.0,4.0,100.0,60.0,100.0,0.096,0.14154332519040091
619,1.0,1.0,0.0,8.0,100.0,60.0,100.0,-1.543333333,0.14154332519040091
620,1.0,1.0,0.0,12.0,100.0,60.0,100.0,-0.458,0.14154332519040091
621,1.0,1.0,0.0,4.0,100.0,80.0,100.0,-3.533333333,0.14154332519040091
622,1.0,1.0,0.0,8.0,100.0,80.0,100.0,-2.693333333,0.14154332519040091
623,1.0,1.0,0.0,12.0,100.0,80.0,100.0,-1.073,0.14154332519040091
626,1.0,1.0,0.0,12.0,50.0,20.0,100.0,-0.988333333,0.14154332519040091
627,1.0,1.0,0.0,4.0,50.0,40.0,100.0,-0.591633333,0.14154332519040091
628,1.0,1.0,0.0,8.0,50.0,40.0,100.0,-1.048,0.14154332519040091
629,1.0,1.0,0.0,12.0,50.0,40.0,100.0,1.671666667,0.2293432964506395
630,1.0,1.0,0.0,4.0,50.0,60.0,100.0,0.497666667,0.14154332519040091
631,1.0,1.0,0.0,8.0,50.0,60.0,100.0,1.216666667,0.14154332519040091
632,1.0,1.0,0.0,12.0,50.0,60.0,100.0,-0.367833333,0.14154332519040091
633,1.0,1.0,0.0,4.0,50.0,80.0,100.0,-2.813333333,0.14154332519040091
634,1.0,1.0,0.0,8.0,50.0,80.0,100.0,0.119166667,0.14154332519040091
635,1.0,1.0,0.0,12.0,50.0,80.0,100.0,-1.521333333,0.14154332519040091
637,1.0,1.0,0.0,8.0,10.0,20.0,100.0,1.181,0.14154332519040091
638,1.0,1.0,0.0,12.0,10.0,20.0,100.0,-1.583333333,0.14154332519040091
639,1.0,1.0,0.0,4.0,10.0,40.0,100.0,-1.696666667,0.14154332519040091
640,1.0,1.0,0.0,8.0,10.0,40.0,100.0,1.110333333,0.14154332519040091
641,1.0,1.0,0.0,12.0,10.0,40.0,100.0,-0.2816,0.14154332519040091
642,1.0,1.0,0.0,4.0,10.0,60.0,100.0,-0.997666667,0.14154332519040091
643,1.0,1.0,0.0,8.0,10.0,60.0,100.0,1.956666667,0.14154332519040091
644,1.0,1.0,0.0,12.0,10.0,60.0,100.0,0.975666667,0.14154332519040091
645,1.0,1.0,0.0,4.0,10.0,80.0,100.0,-4.646666667,0.14154332519040091
646,1.0,1.0,0.0,8.0,10.0,80.0,100.0,-1.383,0.14154332519040091
647,1.0,1.0,0.0,12.0,10.0,80.0,100.0,0.969,0.14154332519040091
652,1.0,1.0,0.0,8.0,1.0,40.0,100.0,-0.225866667,0.14154332519040091
653,1.0,1.0,0.0,12.0,1.0,40.0,100.0,1.199666667,0.14154332519040091
654,1.0,1.0,0.0,4.0,1.0,60.0,100.0,1.106666667,0.14154332519040091
655,1.0,1.0,0.0,8.0,1.0,60.0,100.0,1.159666667,0.14154332519040091
656,1.0,1.0,0.0,12.0,1.0,60.0,100.0,0.740633333,0.14154332519040091
657,1.0,1.0,0.0,4.0,1.0,80.0,100.0,-5.563333333,0.14154332519040091
658,1.0,1.0,0.0,8.0,1.0,80.0,100.0,-1.49,0.14154332519040091
659,1.0,1.0,0.0,12.0,1.0,80.0,100.0,-0.068,0.14154332519040091
663,1.0,1.0,0.0,4.0,200.0,40.0,10.0,-8.67,0.14154332519040091
665,1.0,1.0,0.0,12.0,200.0,40.0,10.0,-1.295666667,0.14154332519040091
666,1.0,1.0,0.0,4.0,200.0,60.0,10.0,-0.760666667,0.14154332519040091
667,1.0,1.0,0.0,8.0,200.0,60.0,10.0,0.013,0.14154332519040091
668,1.0,1.0,0.0,12.0,200.0,60.0,10.0,-1.82,0.14154332519040091
669,1.0,1.0,0.0,4.0,200.0,80.0,10.0,-4.656666667,0.14154332519040091
670,1.0,1.0,0.0,8.0,200.0,80.0,10.0,-2.406666667,0.15131484408679408
671,1.0,1.0,0.0,12.0,200.0,80.0,10.0,-2.843333333,0.14154332519040091
672,1.0,1.0,0.0,4.0,100.0,20.0,10.0,-9.143333333,0.14154332519040091
673,1.0,1.0,0.0,8.0,100.0,20.0,10.0,-2.086666667,0.02615318292858171
675,1.0,1.0,0.0,4.0,100.0,40.0,10.0,-9.543333333,0.14154332519040091
676,1.0,1.0,0.0,8.0,100.0,40.0,10.0,-1.101,0.14154332519040091
677,1.0,1.0,0.0,12.0,100.0,40.0,10.0,-0.806,0.14154332519040091
678,1.0,1.0,0.0,4.0,100.0,60.0,10.0,-0.956333333,0.14154332519040091
679,1.0,1.0,0.0,8.0,100.0,60.0,10.0,-1.070666667,0.07343009053024857
680,1.0,1.0,0.0,12.0,100.0,60.0,10.0,-1.873333333,0.14154332519040091
681,1.0,1.0,0.0,4.0,100.0,80.0,10.0,-7.5,0.14154332519040091
682,1.0,1.0,0.0,8.0,100.0,80.0,10.0,-3.133333333,0.11754562437131771
683,1.0,1.0,0.0,12.0,100.0,80.0,10.0,-1.543333333,0.14154332519040091
684,1.0,1.0,0.0,4.0,50.0,20.0,10.0,-8.303333333,0.14154332519040091
685,1.0,1.0,0.0,8.0,50.0,20.0,10.0,-1.67,0.041385256502371015
686,1.0,1.0,0.0,12.0,50.0,20.0,10.0,-4.006666667,0.14154332519040091
687,1.0,1.0,0.0,4.0,50.0,40.0,10.0,-5.433333333,0.009196723667193596
688,1.0,1.0,0.0,8.0,50.0,40.0,10.0,-0.782666667,0.14154332519040091
689,1.0,1.0,0.0,12.0,50.0,40.0,10.0,-0.808,0.14154332519040091
690,1.0,1.0,0.0,4.0,50.0,60.0,10.0,-2.59,0.14154332519040091
691,1.0,1.0,0.0,8.0,50.0,60.0,10.0,-0.939333333,0.14154332519040091
692,1.0,1.0,0.0,12.0,50.0,60.0,10.0,-1.427333333,0.14154332519040091
693,1.0,1.0,0.0,4.0,50.0,80.0,10.0,-4.286666667,0.14154332519040091
694,1.0,1.0,0.0,8.0,50.0,80.0,10.0,-3.123333333,0.14154332519040091
695,1.0,1.0,0.0,12.0,50.0,80.0,10.0,-2.5,0.14154332519040091
696,1.0,1.0,0.0,4.0,10.0,20.0,10.0,-5.833333333,0.14154332519040091
697,1.0,1.0,0.0,8.0,10.0,20.0,10.0,-1.171666667,0.14154332519040091
699,1.0,1.0,0.0,4.0,10.0,40.0,10.0,-8.426666667,0.14154332519040091
700,1.0,1.0,0.0,8.0,10.0,40.0,10.0,-0.833,0.14154332519040091
701,1.0,1.0,0.0,12.0,10.0,40.0,10.0,-0.889,0.14154332519040091
702,1.0,1.0,0.0,4.0,10.0,60.0,10.0,-3.496666667,0.14154332519040091
703,1.0,1.0,0.0,8.0,10.0,60.0,10.0,-1.372,0.14154332519040091
704,1.0,1.0,0.0,12.0,10.0,60.0,10.0,-2.23,0.14154332519040091
705,1.0,1.0,0.0,4.0,10.0,80.0,10.0,-7.86,0.14154332519040091
706,1.0,1.0,0.0,8.0,10.0,80.0,10.0,-1.491,0.14154332519040091
707,1.0,1.0,0.0,12.0,10.0,80.0,10.0,-2.646666667,0.14154332519040091
709,1.0,1.0,0.0,8.0,1.0,20.0,10.0,-9.796666667,0.14154332519040091
710,1.0,1.0,0.0,12.0,1.0,20.0,10.0,-6.03,0.14154332519040091
711,1.0,1.0,0.0,4.0,1.0,40.0,10.0,-7.93,0.14154332519040091
712,1.0,1.0,0.0,8.0,1.0,40.0,10.0,-1.069666667,0.14154332519040091
713,1.0,1.0,0.0,12.0,1.0,40.0,10.0,-1.002,0.14154332519040091
714,1.0,1.0,0.0,4.0,1.0,60.0,10.0,-6.88,0.14154332519040091
715,1.0,1.0,0.0,8.0,1.0,60.0,10.0,-0.741333333,0.14154332519040091
716,1.0,1.0,0.0,12.0,1.0,60.0,10.0,-1.561,0.14154332519040091
717,1.0,1.0,0.0,4.0,1.0,80.0,10.0,-13.63333333,0.14154332519040091
718,1.0,1.0,0.0,8.0,1.0,80.0,10.0,-3.446666667,0.14154332519040091
719,1.0,1.0,0.0,12.0,1.0,80.0,10.0,-1.356666667,0.14154332519040091
720,0.0,1.0,0.0,4.0,200.0,20.0,500.0,-5.068333333,0.14154332519040091
721,0.0,1.0,0.0,8.0,200.0,20.0,500.0,-4.021666667,0.14154332519040091
722,0.0,1.0,0.0,12.0,200.0,20.0,500.0,-2.968333333,0.14154332519040091
723,0.0,1.0,0.0,4.0,200.0,40.0,500.0,-3.041666667,0.14154332519040091
724,0.0,1.0,0.0,8.0,200.0,40.0,500.0,-1.898333333,0.14154332519040091
725,0.0,1.0,0.0,12.0,200.0,40.0,500.0,-3.103333333,0.14154332519040091
726,0.0,1.0,0.0,4.0,200.0,60.0,500.0,-1.049666667,0.14154332519040091
727,0.0,1.0,0.0,8.0,200.0,60.0,500.0,-1.217666667,0.14154332519040091
728,0.0,1.0,0.0,12.0,200.0,60.0,500.0,2.996666667,0.14154332519040091
729,0.0,1.0,0.0,4.0,200.0,80.0,500.0,-6.603333333,0.14154332519040091
730,0.0,1.0,0.0,8.0,200.0,80.0,500.0,0.623,0.125736456387412
731,0.0,1.0,0.0,12.0,200.0,80.0,500.0,0.325333333,0.14154332519040091
732,0.0,1.0,0.0,4.0,100.0,20.0,500.0,-4.816666667,0.14154332519040091
734,0.0,1.0,0.0,12.0,100.0,20.0,500.0,-3.5,0.14154332519040091
735,0.0,1.0,0.0,4.0,100.0,40.0,500.0,-2.638333333,0.14154332519040091
736,0.0,1.0,0.0,8.0,100.0,40.0,500.0,0.246333333,0.14154332519040091
737,0.0,1.0,0.0,12.0,100.0,40.0,500.0,-3.133333333,0.14154332519040091
738,0.0,1.0,0.0,4.0,100.0,60.0,500.0,-9.153333333,0.14154332519040091
739,0.0,1.0,0.0,8.0,100.0,60.0,500.0,-0.320666667,0.14154332519040091
740,0.0,1.0,0.0,12.0,100.0,60.0,500.0,2.133333333,0.14154332519040091
741,0.0,1.0,0.0,4.0,100.0,80.0,500.0,-9.556666667,0.14154332519040091
742,0.0,1.0,0.0,8.0,100.0,80.0,500.0,0.087033333,0.16094266417588732
743,0.0,1.0,0.0,12.0,100.0,80.0,500.0,3.74,0.14154332519040091
744,0.0,1.0,0.0,4.0,50.0,20.0,500.0,-4.85,0.14154332519040091
745,0.0,1.0,0.0,8.0,50.0,20.0,500.0,-2.693333333,0.3832447190688318
746,0.0,1.0,0.0,12.0,50.0,20.0,500.0,-2.901666667,0.009196723667193596
747,0.0,1.0,0.0,4.0,50.0,40.0,500.0,-1.799333333,0.14154332519040091
748,0.0,1.0,0.0,8.0,50.0,40.0,500.0,-0.851333333,0.4042247449346171
749,0.0,1.0,0.0,12.0,50.0,40.0,500.0,-1.121333333,0.34185946256646077
750,0.0,1.0,0.0,4.0,50.0,60.0,500.0,-2.73,0.25089811754562436
751,0.0,1.0,0.0,8.0,50.0,60.0,500.0,1.443333333,0.5043828136226469
752,0.0,1.0,0.0,12.0,50.0,60.0,500.0,0.187266667,0.14154332519040091
753,0.0,1.0,0.0,4.0,50.0,80.0,500.0,-5.206666667,0.14154332519040091
754,0.0,1.0,0.0,8.0,50.0,80.0,500.0,0.386,0.11754562437131771
755,0.0,1.0,0.0,12.0,50.0,80.0,500.0,0.998,0.14154332519040091
756,0.0,1.0,0.0,4.0,10.0,20.0,500.0,-3.636666667,0.3522057766920535
757,0.0,1.0,0.0,8.0,10.0,20.0,500.0,-2.656666667,0.501508837476649
758,0.0,1.0,0.0,12.0,10.0,20.0,500.0,-1.633,0.041385256502371015
759,0.0,1.0,0.0,4.0,10.0,40.0,500.0,-1.138333333,0.13349619198160656
760,0.0,1.0,0.0,8.0,10.0,40.0,500.0,-0.238,0.4121281793361115
761,0.0,1.0,0.0,12.0,10.0,40.0,500.0,-0.738666667,0.14154332519040091
762,0.0,1.0,0.0,4.0,10.0,60.0,500.0,-3.896666667,0.14154332519040091
763,0.0,1.0,0.0,8.0,10.0,60.0,500.0,-0.527,0.02615318292858171
764,0.0,1.0,0.0,12.0,10.0,60.0,500.0,-0.284666667,0.14154332519040091
