,RLU_HepG2
368,0.6720793217416297
369,0.14154332519040091
370,0.14154332519040091
371,0.14154332519040091
372,0.14154332519040091
373,0.009196723667193596
374,0.14154332519040091
375,0.14154332519040091
376,0.14154332519040091
377,0.14154332519040091
378,0.14154332519040091
379,0.14154332519040091
380,0.017962350912487435
381,0.14154332519040091
382,0.14154332519040091
383,0.14154332519040091
384,0.14154332519040091
385,0.14154332519040091
386,0.14154332519040091
387,0.14154332519040091
388,0.14154332519040091
389,0.14154332519040091
390,0.14154332519040091
391,0.14154332519040091
392,0.14154332519040091
393,0.009196723667193596
394,0.1132346601523207
395,0.1132346601523207
396,0.2606696364420175
397,0.14154332519040091
398,0.14154332519040091
399,0.14154332519040091
400,0.33740479954016384
401,0.3489007041241557
402,0.30004310964219
403,0.5012214398620491
404,0.6371605115677541
405,0.49734157206495183
406,0.4967667768357524
407,0.5703405661733008
408,0.5308233941658285
409,0.14154332519040091
410,0.14154332519040091
411,0.14154332519040091
412,0.14154332519040091
413,0.14154332519040091
414,0.14154332519040091
415,0.14154332519040091
416,0.14154332519040091
417,0.14154332519040091
418,0.14154332519040091
419,0.14154332519040091
420,0.14154332519040091
421,0.14154332519040091
422,0.14154332519040091
423,0.14154332519040091
424,0.14154332519040091
425,0.14154332519040091
426,0.14154332519040091
427,0.14154332519040091
428,0.14154332519040091
429,0.14154332519040091
430,0.14154332519040091
431,0.14154332519040091
432,0.14154332519040091
433,0.14154332519040091
434,0.14154332519040091
435,0.14154332519040091
436,0.14154332519040091
437,0.14154332519040091
438,0.14154332519040091
439,0.14154332519040091
440,0.14154332519040091
441,0.14154332519040091
442,0.14154332519040091
443,0.10892369593332374
444,0.14154332519040091
445,0.14154332519040091
446,0.13349619198160656
447,0.02615318292858171
448,0.14154332519040091
449,0.10892369593332374
450,0.14154332519040091
451,0.14154332519040091
452,0.15461991665469177
453,0.02615318292858171
454,0.2606696364420175
455,0.14154332519040091
456,0.14154332519040091
457,0.14154332519040091
458,0.06753843943095267
459,0.09958327345883033
460,0.14154332519040091
461,0.14154332519040091
462,0.14154332519040091
463,0.14154332519040091
464,0.14154332519040091
465,0.14154332519040091
466,0.041385256502371015
467,0.14154332519040091
468,0.14154332519040091
469,0.009196723667193596
470,0.14154332519040091
471,0.14154332519040091
472,0.14154332519040091
473,0.14154332519040091
474,0.14154332519040091
475,0.14154332519040091
476,0.14154332519040091
477,0.14154332519040091
478,0.009196723667193596
479,0.14154332519040091
480,0.02615318292858171
481,0.14154332519040091
482,0.02615318292858171
483,0.14154332519040091
484,0.14154332519040091
485,0.14154332519040091
486,0.14154332519040091
487,0.14154332519040091
488,0.14154332519040091
489,0.14154332519040091
490,0.11754562437131771
491,0.14154332519040091
492,0.14154332519040091
493,0.009196723667193596
494,0.041385256502371015
495,0.14154332519040091
496,0.14154332519040091
497,0.14154332519040091
498,0.14154332519040091
499,0.10892369593332374
500,0.009196723667193596
501,0.5078315849978445
502,0.3693059347607415
503,0.3168558700962782
504,0.5545336973703119
505,0.2386837189251329
506,0.39229774392872546
507,0.33654260669636443
508,0.2062077884753557
509,0.14154332519040091
510,0.25420319011352205
511,0.4489150740048858
512,0.14154332519040091
513,0.14154332519040091
514,0.14154332519040091
515,0.14154332519040091
516,0.14154332519040091
517,0.14154332519040091
518,0.14154332519040091
519,0.14154332519040091
520,0.14154332519040091
521,0.14154332519040091
522,0.14154332519040091
523,0.14154332519040091
524,0.14154332519040091
525,0.14154332519040091
526,0.14154332519040091
527,0.14154332519040091
528,0.14154332519040091
529,0.14154332519040091
530,0.14154332519040091
531,0.14154332519040091
532,0.14154332519040091
533,0.14154332519040091
534,0.14154332519040091
535,0.14154332519040091
536,0.14154332519040091
537,0.14154332519040091
538,0.14154332519040091
539,0.14154332519040091
540,0.14154332519040091
541,0.14154332519040091
542,0.14154332519040091
543,0.14154332519040091
544,0.0
545,0.14154332519040091
546,0.14154332519040091
547,0.14154332519040091
548,0.14154332519040091
549,0.14154332519040091
550,0.14154332519040091
