P_charged_centers,cLogP,Double_bonds,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
1,12.515,2,-3.706666667,4,0.99009901,60,0.497512438
1,12.515,2,-1.271,8,0.99009901,60,0.497512438
1,12.515,2,4.56,12,0.99009901,60,0.497512438
1,12.515,2,1.253333333,4,0.99009901,80,0.497512438
1,12.515,2,4.306666667,8,0.99009901,80,0.497512438
1,12.515,2,3.433333333,12,0.99009901,80,0.497512438
1,12.515,2,-30.33333333,4,0.99009901,20,0.99009901
1,12.515,2,3.27,8,0.99009901,20,0.99009901
1,12.515,2,-0.77,12,0.99009901,20,0.99009901
1,12.515,2,-3.76,4,0.99009901,40,0.99009901
1,12.515,2,-3.076666667,8,0.99009901,40,0.99009901
1,12.515,2,-2.876666667,12,0.99009901,40,0.99009901
1,12.515,2,-2.633333333,4,0.99009901,60,0.99009901
1,12.515,2,-2.463333333,8,0.99009901,60,0.99009901
1,12.515,2,2.173333333,12,0.99009901,60,0.99009901
1,12.515,2,-1.211333333,4,0.99009901,80,0.99009901
1,12.515,2,2.933333333,8,0.99009901,80,0.99009901
1,12.515,2,3.573333333,12,0.99009901,80,0.99009901
1,12.515,2,-28.56666667,4,0.99009901,20,1.960784314
1,12.515,2,1.826666667,8,0.99009901,20,1.960784314
1,12.515,2,1.6,12,0.99009901,20,1.960784314
1,12.515,2,-3.646666667,4,0.99009901,40,1.960784314
1,12.515,2,-2.73,8,0.99009901,40,1.960784314
1,12.515,2,-2.316666667,12,0.99009901,40,1.960784314
1,12.515,2,-5.89,4,0.99009901,60,1.960784314
1,12.515,2,-0.982333333,8,0.99009901,60,1.960784314
1,12.515,2,3.386666667,12,0.99009901,60,1.960784314
1,12.515,2,2.24,4,0.99009901,80,1.960784314
1,12.515,2,1.28,8,0.99009901,80,1.960784314
1,12.515,2,2.923333333,12,0.99009901,80,1.960784314
