,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
217,218,DOPE,1,1,9.784,2,9,36,2,8,10,20,500,465.9333333,-1.686666667,6.18
218,219,DOPE,1,1,9.784,2,9,36,2,12,10,20,500,599.5333333,-0.166206667,5.505
219,220,DOPE,1,1,9.784,2,9,36,2,4,10,40,500,197.5666667,-2.53,6.071
220,221,DOPE,1,1,9.784,2,9,36,2,8,10,40,500,199.4,2.476666667,5.749
221,222,DOPE,1,1,9.784,2,9,36,2,12,10,40,500,208.5,1.541666667,5.231
222,223,DOPE,1,1,9.784,2,9,36,2,4,10,60,500,193.9,-1.64,6.161
223,224,DOPE,1,1,9.784,2,9,36,2,8,10,60,500,159.3,2.77,6.009
224,225,DOPE,1,1,9.784,2,9,36,2,12,10,60,500,190.9666667,2.354,6.001
225,226,DOPE,1,1,9.784,2,9,36,2,4,10,80,500,166.8666667,-26.83333333,7.607
226,227,DOPE,1,1,9.784,2,9,36,2,8,10,80,500,146.8666667,5.42,6.916
227,228,DOPE,1,1,9.784,2,9,36,2,12,10,80,500,167.8,7.203333333,6.551
228,229,DOPE,1,1,9.784,2,9,36,2,4,1,20,500,287.7333333,2.916666667,6.038
229,230,DOPE,1,1,9.784,2,9,36,2,8,1,20,500,306.5333333,3.96,8.595
230,231,DOPE,1,1,9.784,2,9,36,2,12,1,20,500,473.2,5.006666667,7.874
231,232,DOPE,1,1,9.784,2,9,36,2,4,1,40,500,261.7,4.206666667,8.389
232,233,DOPE,1,1,9.784,2,9,36,2,8,1,40,500,205.1,4.25,9.338
233,234,DOPE,1,1,9.784,2,9,36,2,12,1,40,500,177.9333333,2.72,8.956
234,235,DOPE,1,1,9.784,2,9,36,2,4,1,60,500,224.5,4.343333333,9.82
235,236,DOPE,1,1,9.784,2,9,36,2,8,1,60,500,195.0333333,5.876666667,8.782
236,237,DOPE,1,1,9.784,2,9,36,2,12,1,60,500,179.0333333,6.29,9.016
237,238,DOPE,1,1,9.784,2,9,36,2,4,1,80,500,237.6333333,6.303333333,10.091
238,239,DOPE,1,1,9.784,2,9,36,2,8,1,80,500,164.9666667,11.93333333,10.023
239,240,DOPE,1,1,9.784,2,9,36,2,12,1,80,500,171.5333333,8.72,9.557
240,241,DOPE,1,1,9.784,2,9,36,2,4,200,20,100,177.0333333,-4.186666667,5.733
241,242,DOPE,1,1,9.784,2,9,36,2,8,200,20,100,223.4,-2.646666667,5.106
242,243,DOPE,1,1,9.784,2,9,36,2,12,200,20,100,169.1333333,-2.373333333,4.29
243,244,DOPE,1,1,9.784,2,9,36,2,4,200,40,100,193.5,-1.616666667,4.86
244,245,DOPE,1,1,9.784,2,9,36,2,8,200,40,100,139.0,-1.976666667,4.875
245,246,DOPE,1,1,9.784,2,9,36,2,12,200,40,100,159.2333333,-2.136666667,4.71
246,247,DOPE,1,1,9.784,2,9,36,2,4,200,60,100,171.7,-0.094333333,5.024
247,248,DOPE,1,1,9.784,2,9,36,2,8,200,60,100,150.1333333,-1.95,4.407
248,249,DOPE,1,1,9.784,2,9,36,2,12,200,60,100,177.5333333,-2.43,5.472
249,250,DOPE,1,1,9.784,2,9,36,2,4,200,80,100,219.6333333,-15.26666667,4.007
250,251,DOPE,1,1,9.784,2,9,36,2,8,200,80,100,141.4666667,-3.21,3.892
251,252,DOPE,1,1,9.784,2,9,36,2,12,200,80,100,160.0333333,-4.51,5.429
252,253,DOPE,1,1,9.784,2,9,36,2,4,100,20,100,176.9333333,-4.66,5.635
