,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3,Exp_PC3
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,2.890175541218196,17.99646844628277
185,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,2.6389732352794555,13.998822728800372
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,2.6389732352794555,13.998822728800372
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,3.9888295327515,53.991656898689
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,2.6389732352794555,13.998822728800372
189,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,2.4848821211989405,11.999705660541164
190,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,2.707904251597284,14.997810917177775
191,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,2.6389732352794555,13.998822728800372
192,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,3.829017899120732,46.01732238181185
193,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,5.112123107431799,166.02246448639497
194,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,3.178020388471803,23.99919740839273
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,2.707904251597284,14.997810917177775
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,2.4848821211989405,11.999705660541164
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,2.6389732352794555,13.998822728800372
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,2.5650388426503046,13.001163359504929
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,2.7726789280592854,16.001443358210743
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,2.7726789280592854,16.001443358210743
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,2.5430404724093343,12.718281828459045
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,2.6389732352794555,13.998822728800372
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,2.7726789280592854,16.001443358210743
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,4.4660803334224255,87.01498397499613
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,2.707904251597284,14.997810917177775
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,2.5650388426503046,13.001163359504929
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,2.5650388426503046,13.001163359504929
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,2.707904251597284,14.997810917177775
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,2.6389732352794555,13.998822728800372
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,2.4848821211989405,11.999705660541164
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,2.707904251597284,14.997810917177775
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,2.5650388426503046,13.001163359504929
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,2.5650388426503046,13.001163359504929
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,2.4848821211989405,11.999705660541164
