,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,3.0
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,3.0
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,4.344
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,3.0
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,3.0
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,3.0
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,3.0
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,3.0
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,3.0
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,3.0
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,3.0
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,3.0
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,3.0
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,3.0
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,3.0
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,3.0
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,3.0
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,3.0
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,3.0
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,3.0
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,3.0
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,3.0
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,3.0
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,3.0
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,3.0
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,3.0
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,3.0
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,3.0
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,3.0
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,3.0
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,3.367
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,3.0
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,3.0
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,3.0
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,3.0
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,3.0
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,3.0
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,3.0
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,3.0
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,3.0
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,3.0
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,3.0
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,3.0
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,3.0
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,3.0
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,3.0
248,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,3.0
249,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,3.0
250,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,3.0
251,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,3.0
252,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,3.0
253,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,3.0
