,P_charged_centers,N_charged_centers,cLogP,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
197,1.0,1.0,9.784,12.0,100.0,40.0,500.0,189.9666667,-2.24,0.16210072975236275
198,1.0,1.0,9.784,4.0,100.0,60.0,500.0,192.8,-3.663333333,0.1832755114248116
199,1.0,1.0,9.784,8.0,100.0,60.0,500.0,170.3,0.073,0.19559755951668858
200,1.0,1.0,9.784,12.0,100.0,60.0,500.0,181.6333333,-1.161666667,0.47218566814212215
201,1.0,1.0,9.784,4.0,100.0,80.0,500.0,172.9333333,-26.66666667,0.38928101447541574
202,1.0,1.0,9.784,8.0,100.0,80.0,500.0,148.0,-6.033333333,0.36499581289627936
203,1.0,1.0,9.784,12.0,100.0,80.0,500.0,162.5333333,-0.325333333,0.38928101447541574
206,1.0,1.0,9.784,12.0,50.0,20.0,500.0,475.3333333,-3.116666667,0.34417992582844836
207,1.0,1.0,9.784,4.0,50.0,40.0,500.0,191.8,-0.756333333,0.32204809187701877
208,1.0,1.0,9.784,8.0,50.0,40.0,500.0,170.0,0.3774,0.38748654145232675
210,1.0,1.0,9.784,4.0,50.0,60.0,500.0,189.0333333,-2.12,0.5849982055269769
211,1.0,1.0,9.784,8.0,50.0,60.0,500.0,155.4333333,1.195666667,0.434382103122383
212,1.0,1.0,9.784,12.0,50.0,60.0,500.0,256.8,0.16,0.5442038521354229
213,1.0,1.0,9.784,4.0,50.0,80.0,500.0,202.3,-29.4,0.4537624117717429
214,1.0,1.0,9.784,8.0,50.0,80.0,500.0,135.8666667,-10.41,0.6701758583562627
215,1.0,1.0,9.784,12.0,50.0,80.0,500.0,163.5333333,-0.4925,0.5668142122263429
216,1.0,1.0,9.784,4.0,10.0,20.0,500.0,431.8,-9.42,0.43988515372652226
217,1.0,1.0,9.784,8.0,10.0,20.0,500.0,465.9333333,-1.686666667,0.7935159708099053
219,1.0,1.0,9.784,4.0,10.0,40.0,500.0,197.5666667,-2.53,0.5998325158511784
220,1.0,1.0,9.784,8.0,10.0,40.0,500.0,199.4,2.476666667,0.8331140088527333
221,1.0,1.0,9.784,12.0,10.0,40.0,500.0,208.5,1.541666667,0.8217490130398373
222,1.0,1.0,9.784,4.0,10.0,60.0,500.0,193.9,-1.64,0.6952984806795071
223,1.0,1.0,9.784,8.0,10.0,60.0,500.0,159.3,2.77,0.9320492881923674
224,1.0,1.0,9.784,12.0,10.0,60.0,500.0,190.9666667,2.354,0.808589544203852
225,1.0,1.0,9.784,4.0,10.0,80.0,500.0,166.8666667,-26.83333333,0.9734417992582844
226,1.0,1.0,9.784,8.0,10.0,80.0,500.0,146.8666667,5.42,0.826175379830123
227,1.0,1.0,9.784,12.0,10.0,80.0,500.0,167.8,7.203333333,0.74434740997727
228,1.0,1.0,9.784,4.0,1.0,20.0,500.0,287.7333333,2.916666667,1.0
230,1.0,1.0,9.784,12.0,1.0,20.0,500.0,473.2,5.006666667,0.8888623041033616
231,1.0,1.0,9.784,4.0,1.0,40.0,500.0,261.7,4.206666667,0.09702117478167246
232,1.0,1.0,9.784,8.0,1.0,40.0,500.0,205.1,4.25,0.13147505682497904
233,1.0,1.0,9.784,12.0,1.0,40.0,500.0,177.9333333,2.72,0.13147505682497904
234,1.0,1.0,9.784,4.0,1.0,60.0,500.0,224.5,4.343333333,0.15408541691589903
235,1.0,1.0,9.784,8.0,1.0,60.0,500.0,195.0333333,5.876666667,0.22622323244407225
236,1.0,1.0,9.784,12.0,1.0,60.0,500.0,179.0333333,6.29,0.13147505682497904
237,1.0,1.0,9.784,4.0,1.0,80.0,500.0,237.6333333,6.303333333,0.16963751644933603
238,1.0,1.0,9.784,8.0,1.0,80.0,500.0,164.9666667,11.93333333,0.2661801650915181
239,1.0,1.0,9.784,12.0,1.0,80.0,500.0,171.5333333,8.72,0.11018064361765759
240,1.0,1.0,9.784,4.0,200.0,20.0,100.0,177.0333333,-4.186666667,0.058140925948079875
242,1.0,1.0,9.784,12.0,200.0,20.0,100.0,169.1333333,-2.373333333,0.2561311161622203
243,1.0,1.0,9.784,4.0,200.0,40.0,100.0,193.5,-1.616666667,0.14989831319535826
244,1.0,1.0,9.784,8.0,200.0,40.0,100.0,139.0,-1.976666667,0.08302428520157915
245,1.0,1.0,9.784,12.0,200.0,40.0,100.0,159.2333333,-2.136666667,0.20122024165570043
246,1.0,1.0,9.784,4.0,200.0,60.0,100.0,171.7,-0.094333333,0.11018064361765759
247,1.0,1.0,9.784,8.0,200.0,60.0,100.0,150.1333333,-1.95,0.11018064361765759
248,1.0,1.0,9.784,12.0,200.0,60.0,100.0,177.5333333,-2.43,0.0
249,1.0,1.0,9.784,4.0,200.0,80.0,100.0,219.6333333,-15.26666667,0.15815288910156713
250,1.0,1.0,9.784,8.0,200.0,80.0,100.0,141.4666667,-3.21,0.12633090082545753
251,1.0,1.0,9.784,12.0,200.0,80.0,100.0,160.0333333,-4.51,0.09702117478167246
252,1.0,1.0,9.784,4.0,100.0,20.0,100.0,176.9333333,-4.66,0.11556406268692423
