,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_HepG2
1021,1022,DDAB,1,0,12.73,0,0,36,0,8,200,20,10,135.4333333,-1.52,3.0
1026,1027,DDAB,1,0,12.73,0,0,36,0,4,200,60,10,277.0333333,-0.445353333,3.0
1028,1029,DDAB,1,0,12.73,0,0,36,0,12,200,60,10,250.5333333,-1.150666667,2.14
1029,1030,DDAB,1,0,12.73,0,0,36,0,4,200,80,10,203.0666667,-0.866333333,3.0
1031,1032,DDAB,1,0,12.73,0,0,36,0,12,200,80,10,204.2666667,0.426333333,4.984
1039,1040,DDAB,1,0,12.73,0,0,36,0,8,100,60,10,224.8,-0.698333333,3.0
1040,1041,DDAB,1,0,12.73,0,0,36,0,12,100,60,10,252.4666667,-0.727,3.0
1043,1044,DDAB,1,0,12.73,0,0,36,0,12,100,80,10,186.2666667,-0.533333333,4.382
1047,1048,DDAB,1,0,12.73,0,0,36,0,4,50,40,10,93.57666667,-1.966666667,3.0
1057,1058,DDAB,1,0,12.73,0,0,36,0,8,10,20,10,139.0333333,-1.626666667,3.0
1059,1060,DDAB,1,0,12.73,0,0,36,0,4,10,40,10,86.48,-1.109,3.0
1068,1069,DDAB,1,0,12.73,0,0,36,0,4,1,20,10,104.5,-1.523333333,4.344
1069,1070,DDAB,1,0,12.73,0,0,36,0,8,1,20,10,108.7333333,-0.928,2.708
1070,1071,DDAB,1,0,12.73,0,0,36,0,12,1,20,10,124.4333333,-1.003,3.0
1071,1072,DDAB,1,0,12.73,0,0,36,0,4,1,40,10,122.0333333,-1.225,4.256
1072,1073,DDAB,1,0,12.73,0,0,36,0,8,1,40,10,111.9333333,-1.238333333,2.741
1073,1074,DDAB,1,0,12.73,0,0,36,0,12,1,40,10,131.9,-0.524533333,3.892
1074,1075,DDAB,1,0,12.73,0,0,36,0,4,1,60,10,155.1,-0.473333333,3.157
1075,1076,DDAB,1,0,12.73,0,0,36,0,8,1,60,10,158.4666667,-0.883,4.437
1076,1077,DDAB,1,0,12.73,0,0,36,0,12,1,60,10,155.6666667,-0.294,3.98
1077,1078,DDAB,1,0,12.73,0,0,36,0,4,1,80,10,265.4333333,1.176666667,4.241
1078,1079,DDAB,1,0,12.73,0,0,36,0,8,1,80,10,174.9,1.081666667,3.912
1079,1080,DDAB,1,0,12.73,0,0,36,0,12,1,80,10,134.8666667,2.193333333,3.068
