,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
307,1,9.784,2,8,200,60,10
308,1,9.784,2,12,200,60,10
309,1,9.784,2,4,200,80,10
310,1,9.784,2,8,200,80,10
311,1,9.784,2,12,200,80,10
312,1,9.784,2,4,100,20,10
313,1,9.784,2,8,100,20,10
314,1,9.784,2,12,100,20,10
315,1,9.784,2,4,100,40,10
316,1,9.784,2,8,100,40,10
317,1,9.784,2,12,100,40,10
318,1,9.784,2,4,100,60,10
319,1,9.784,2,8,100,60,10
320,1,9.784,2,12,100,60,10
321,1,9.784,2,4,100,80,10
322,1,9.784,2,8,100,80,10
323,1,9.784,2,12,100,80,10
324,1,9.784,2,4,50,20,10
325,1,9.784,2,8,50,20,10
326,1,9.784,2,12,50,20,10
327,1,9.784,2,4,50,40,10
328,1,9.784,2,8,50,40,10
329,1,9.784,2,12,50,40,10
330,1,9.784,2,4,50,60,10
331,1,9.784,2,8,50,60,10
332,1,9.784,2,12,50,60,10
333,1,9.784,2,4,50,80,10
334,1,9.784,2,8,50,80,10
335,1,9.784,2,12,50,80,10
336,1,9.784,2,4,10,20,10
337,1,9.784,2,8,10,20,10
338,1,9.784,2,12,10,20,10
339,1,9.784,2,4,10,40,10
340,1,9.784,2,8,10,40,10
341,1,9.784,2,12,10,40,10
342,1,9.784,2,4,10,60,10
343,1,9.784,2,8,10,60,10
344,1,9.784,2,12,10,60,10
345,1,9.784,2,4,10,80,10
346,1,9.784,2,8,10,80,10
347,1,9.784,2,12,10,80,10
348,1,9.784,2,4,1,20,10
349,1,9.784,2,8,1,20,10
350,1,9.784,2,12,1,20,10
351,1,9.784,2,4,1,40,10
352,1,9.784,2,8,1,40,10
353,1,9.784,2,12,1,40,10
354,1,9.784,2,4,1,60,10
355,1,9.784,2,8,1,60,10
356,1,9.784,2,12,1,60,10
357,1,9.784,2,4,1,80,10
358,1,9.784,2,8,1,80,10
359,1,9.784,2,12,1,80,10
360,1,12.515,0,4,200,20,500
361,1,12.515,0,8,200,20,500
362,1,12.515,0,12,200,20,500
