,RF,LGBM,XGB,DT,kNN,lasso,PLS,MLR
699,0.14036573697722404,0.10440582639495229,0.09878164815018792,0.09326052593763473,0.10038216476259348,0.12065263548466615,0.07702339581787881,0.07886890625356374
700,0.004622821164241897,0.006739459795395253,0.027945395712709264,0.053815203333812345,0.023222184773115023,0.0426372686455766,0.005371575592413941,0.0033606242947634146
701,0.13009203982777778,0.09167698471928382,0.0324156546638964,0.0,0.043460315852862696,0.01905327073064661,0.061627941009005996,0.059555267158582226
702,0.015459844328790953,0.036562703566249063,0.048441777246953255,0.051875269435263716,0.04613062427513559,0.05833810479627091,0.017566372483135098,0.019498680612938857
703,0.04762900548677432,0.02048572293181096,0.035743799214219885,0.0,0.013842978048416027,0.03305771580078709,0.004113593626851875,0.0020491949572293833
704,0.13972340081349993,0.1176021751295035,0.004215808131602661,0.0005747952291996206,0.011992849341123851,0.042547453653934586,0.00952574649280924,0.010676848012447226
705,0.067257938869952,0.03471140187828145,0.02703999574113497,0.08650668199453942,0.11533991534623603,0.12858580186987895,0.08835345132655067,0.09028472480081767
706,0.0003478346162995305,0.006739459795395253,0.13527113679308778,0.13234660152320732,0.17182123501790808,0.19786341617274913,0.16055053972637648,0.1625413763519925
707,0.08022692689203681,0.10447009873696178,0.01225360870823844,0.0,0.06056075347662651,0.03323016873239548,0.009092015913246432,0.006747218433288016
708,0.04819466069944611,0.02048572293181096,0.08958971785615105,0.08894956171863777,0.23727898997435987,0.14117744819066663,0.09359961592900706,0.09590865265228732
709,0.03699947878411018,0.010597349875797663,0.007299128766203089,0.00431096421899696,0.15429646421495558,0.05316681510556748,0.017297258225232315,0.019190077870927857
710,0.03810158779209119,0.0110952302388789,0.002893540854597254,0.0,0.02327229184251478,0.06459229581687534,0.030257233437921527,0.03396109163778904
711,0.08279856890154708,0.10309525134610252,0.0648571252822876,0.14154332519040091,0.12286603232299516,0.11586192210518954,0.08293609261153669,0.08430986021763637
