Formula label,Helper_lipid,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HEK293
168,18PG,1,0,0,0,0,0,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,9.782
169,18PG,1,0,0,0,0,0,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,2.442
170,18PG,1,0,0,0,0,0,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,4.902
171,18PG,1,0,0,0,0,0,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,2.079
172,18PG,1,0,0,0,0,0,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,3.676
173,18PG,1,0,0,0,0,0,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,5.46
174,18PG,1,0,0,0,0,0,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,6.318
175,18PG,1,0,0,0,0,0,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,6.304
176,18PG,1,0,0,0,0,0,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,7.738
177,18PG,1,0,0,0,0,0,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,4.771
178,18PG,1,0,0,0,0,0,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,3.418
179,18PG,1,0,0,0,0,0,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,6.364
180,18PG,1,0,0,0,0,0,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,3.951
181,DOPE,0,0,1,0,0,0,288.9666667,0.464333333,-7.436666667,4,0.199600798,20,0.497512438,6.382
182,DOPE,0,0,1,0,0,0,533.7,0.403333333,-3.523333333,8,0.199600798,20,0.497512438,7.404
183,DOPE,0,0,1,0,0,0,342.3333333,0.496333333,-3.396666667,12,0.199600798,20,0.497512438,9.651
184,DOPE,0,0,1,0,0,0,237.1333333,0.211,-4.23,4,0.199600798,40,0.497512438,2.442
185,DOPE,0,0,1,0,0,0,185.1333333,0.237333333,-1.803333333,8,0.199600798,40,0.497512438,6.968
