,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_HEK293
286,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,80.0,100.0,166.1666667,-6.06,0.4665799014595147
287,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,80.0,100.0,198.6666667,-0.9158,0.25620526169006225
288,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,20.0,100.0,236.7666667,-3.646666667,0.45728362926466487
289,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,20.0,100.0,211.3666667,1.916666667,0.6278702240401599
290,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,20.0,100.0,182.6,0.651,0.5749744352514641
291,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,40.0,100.0,179.9,-1.32,0.24402714511480894
292,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,40.0,100.0,196.2,2.876666667,0.13628335037649902
294,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,60.0,100.0,197.7,0.54,0.3185832481175049
295,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,60.0,100.0,148.4666667,4.106666667,0.17997582969229337
296,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,60.0,100.0,171.6333333,1.651,0.3959282327786558
297,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,80.0,100.0,253.0666667,-0.074666667,0.38207678720832944
298,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,80.0,100.0,186.6333333,-5.6,0.48089616063958346
299,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,80.0,100.0,150.0333333,6.683333333,0.39806637538347117
303,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,40.0,10.0,170.1333333,-5.413333333,0.29487775402063776
304,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,40.0,10.0,176.6666667,-1.593333333,0.47764246537138605
306,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,60.0,10.0,153.6333333,-3.223333333,0.7286418146323324
307,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,60.0,10.0,153.0333333,-1.48,0.762480245421586
308,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,60.0,10.0,149.9,-2.086666667,0.8043134702984103
309,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,80.0,10.0,133.1,-3.64,0.7435158501440922
310,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,80.0,10.0,138.3666667,-33.9,0.7480710235195687
311,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,80.0,10.0,136.2333333,-2.783333333,0.5733940689783397
315,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,40.0,10.0,137.9333333,-6.893333333,0.7517895323975086
318,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,60.0,10.0,137.5666667,-3.093333333,0.7610858045923585
319,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,60.0,10.0,115.6333333,-2.686666667,0.8544203774286512
320,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,60.0,10.0,207.0666667,-1.29,0.8314585851073719
321,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,80.0,10.0,145.4,-3.763333333,0.37584828483778004
322,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,80.0,10.0,135.8666667,-36.3,0.30752068420563355
323,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,80.0,10.0,120.9333333,-1.66,0.39202379845681884
326,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,20.0,10.0,496.8333333,-6.54,0.5516407920423909
327,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,40.0,10.0,93.06666667,-2.723333333,0.7336618016175513
330,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,60.0,10.0,136.1666667,-2.57,0.6524123826345636
331,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,60.0,10.0,129.5,-1.666333333,0.791577577391466
333,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,80.0,10.0,143.0333333,-3.51,0.36301942920888725
334,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,80.0,10.0,134.7,-36.66666667,0.43711071860184064
335,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,80.0,10.0,135.2333333,-2.383333333,0.47225062749837315
339,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,40.0,10.0,132.7666667,-5.483333333,0.7475132471878776
341,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,40.0,10.0,153.0,-1.983333333,0.7525332341730966
342,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,60.0,10.0,156.7333333,-3.656666667,0.693687831179697
343,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,60.0,10.0,134.0666667,-1.370333333,0.4369247931579437
344,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,60.0,10.0,167.5,-2.37,0.5793436831830436
345,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,80.0,10.0,144.4333333,-4.92,0.5752533234173096
346,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,80.0,10.0,161.1333333,-31.9,0.7031700288184439
347,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,80.0,10.0,118.1666667,-2.056666667,0.7749372501626848
351,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,40.0,10.0,157.5,-3.126666667,0.7245514548665983
352,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,40.0,10.0,140.4666667,-1.383333333,0.5390908245793438
354,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,60.0,10.0,153.2,-2.37,0.7370084596076973
355,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,60.0,10.0,129.7666667,-1.059,0.6509249790833875
356,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,60.0,10.0,145.7333333,-1.533333333,0.727619224690899
357,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,80.0,10.0,165.1666667,-3.313333333,0.7027052152087012
358,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,80.0,10.0,157.6666667,15.6,0.7464906572464443
359,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,80.0,10.0,140.5666667,-1.012333333,0.7597843264850794
360,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,20.0,500.0,157.3333333,5.9,0.6475783210932415
361,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,20.0,500.0,138.8333333,5.12,0.8374081993120759
363,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,40.0,500.0,175.8333333,12.9,0.6875522915310961
364,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,40.0,500.0,172.5333333,1.866666667,0.7754950264943756
365,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,40.0,500.0,173.3,6.673333333,0.7373803104954912
366,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,60.0,500.0,222.7333333,16.2,0.6814167518824952
367,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,60.0,500.0,163.4666667,13.33333333,0.804778283908153
368,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,60.0,500.0,132.7666667,15.63333333,0.8261597099563076
369,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,80.0,500.0,172.6333333,-10.96666667,0.14836850422980385
370,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,80.0,500.0,156.5,5.703333333,0.31151808124941893
372,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,20.0,500.0,126.4666667,1.823,0.4080133866319606
373,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,20.0,500.0,173.0,7.926666667,0.5645626103932322
374,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,20.0,500.0,198.5333333,2.883333333,0.23203495398345264
375,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,40.0,500.0,185.6666667,12.1,0.4571906665427164
376,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,40.0,500.0,160.6,4.013333333,0.7019615134331134
377,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,40.0,500.0,183.8333333,2.956666667,0.311704006693316
378,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,60.0,500.0,224.0,22.76666667,0.3108673421957795
379,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,60.0,500.0,147.6666667,9.33,0.43171888072882775
380,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,60.0,500.0,146.4333333,19.53333333,0.6146695175234731
381,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,80.0,500.0,170.8666667,7.633333333,0.3478665055312819
382,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,80.0,500.0,136.8333333,7.98,0.4799665334200985
383,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,80.0,500.0,290.3,-25.13333333,0.6340057636887608
384,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,20.0,500.0,122.2,18.9,0.2881844380403458
386,1.0,0.0,12.515,0.0,36.0,2.0,12.0,50.0,20.0,500.0,186.9666667,2.883333333,0.3604164729943293
387,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,40.0,500.0,153.4666667,17.63333333,0.4774565399274891
388,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,40.0,500.0,204.5333333,0.663333333,0.577019615134331
389,1.0,0.0,12.515,0.0,36.0,2.0,12.0,50.0,40.0,500.0,177.8333333,3.57,0.32118620433206285
390,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,60.0,500.0,193.0,24.03333333,0.4881472529515664
391,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,60.0,500.0,155.2333333,9.956666667,0.6610579157757739
392,1.0,0.0,12.515,0.0,36.0,2.0,12.0,50.0,60.0,500.0,133.8333333,18.63333333,0.07604350655387193
393,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,80.0,500.0,204.0333333,6.13,0.513061262433764
394,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,80.0,500.0,118.1,9.33,0.5250534535651203
396,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,20.0,500.0,105.7,44.06666667,0.6808589755508041
397,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,20.0,500.0,131.2333333,25.86666667,0.4562610393232314
399,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,40.0,500.0,204.4333333,26.16666667,0.7554150785535001
400,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,40.0,500.0,135.9,27.06666667,0.4679743422887423
401,1.0,0.0,12.515,0.0,36.0,2.0,12.0,10.0,40.0,500.0,199.2666667,22.36666667,0.3180254717858139
402,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,60.0,500.0,157.6333333,30.7,0.5184531003067769
403,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,60.0,500.0,133.6333333,15.33333333,0.6145765548015245
404,1.0,0.0,12.515,0.0,36.0,2.0,12.0,10.0,60.0,500.0,139.3666667,20.86666667,0.656595705122246
405,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,80.0,500.0,138.7666667,15.56666667,0.6834619317653621
406,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,80.0,500.0,143.8333333,18.4,0.5067397973412662
408,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,20.0,500.0,137.3,19.9,0.7965975643766849
409,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,20.0,500.0,899.4,16.3,0.3176536208980199
410,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,20.0,500.0,158.2333333,12.23333333,0.43673886771404663
411,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,40.0,500.0,214.0333333,5.41,0.33745468067305
412,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,40.0,500.0,173.5,22.13333333,0.3134702984103374
414,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,60.0,500.0,218.4,22.4,0.13628335037649902
415,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,60.0,500.0,152.1333333,23.5,0.4753183973226736
416,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,60.0,500.0,101.8666667,21.46666667,0.5270986334479872
417,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,80.0,500.0,200.6,12.93333333,0.5776703541879706
418,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,80.0,500.0,133.7333333,31.5,0.29097331969880075
420,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,20.0,100.0,2056.666667,-27.6,0.6075113879334388
421,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,20.0,100.0,576.1666667,-2.563333333,0.2496049084317189
422,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,20.0,100.0,453.7333333,1.926666667,0.34117318955099
423,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,40.0,100.0,157.1,-3.873333333,0.3889560286325184
425,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,40.0,100.0,154.0333333,-2.93,0.47550432276657056
426,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,60.0,100.0,187.9,-3.706666667,0.3926745375104583
427,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,60.0,100.0,151.0666667,-1.271,0.5638189086176444
428,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,60.0,100.0,165.1666667,4.56,0.016919215394626763
429,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,80.0,100.0,152.2,1.253333333,0.38960676768615793
430,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,80.0,100.0,143.4666667,4.306666667,0.519940503857953
431,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,80.0,100.0,119.9666667,3.433333333,0.3988100771590592
433,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,20.0,100.0,115.6666667,3.27,0.42428186297294784
434,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,20.0,100.0,388.5666667,-0.77,0.20563354095007902
435,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,40.0,100.0,176.5,-3.76,0.1817421214093149
436,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,40.0,100.0,214.0333333,-3.076666667,0.47104211211304264
437,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,40.0,100.0,199.2,-2.876666667,0.5089709026680302
438,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,60.0,100.0,182.5333333,-2.633333333,0.550339313935112
439,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,60.0,100.0,155.6333333,-2.463333333,0.58761736543646
440,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,60.0,100.0,181.7,2.173333333,0.19178209537975272
441,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,80.0,100.0,175.7,-1.211333333,0.5328623222087943
442,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,80.0,100.0,162.9666667,2.933333333,0.6322394719717395
443,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,80.0,100.0,128.4666667,3.573333333,0.4571906665427164
445,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,20.0,100.0,139.2,1.826666667,0.5196616156921074
447,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,40.0,100.0,162.2333333,-3.646666667,0.5981221530166403
448,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,40.0,100.0,223.1333333,-2.73,0.5194756902482105
450,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,60.0,100.0,207.0333333,-5.89,0.7049363205354653
451,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,60.0,100.0,154.4666667,-0.982333333,0.690527098633448
452,1.0,0.0,12.515,0.0,36.0,2.0,12.0,50.0,60.0,100.0,170.7333333,3.386666667,0.15673514920516873
453,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,80.0,100.0,149.4333333,2.24,0.1508784977224133
454,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,80.0,100.0,171.1333333,1.28,0.7763316909919122
455,1.0,0.0,12.515,0.0,36.0,2.0,12.0,50.0,80.0,100.0,163.5333333,2.923333333,0.06749093613461005
460,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,40.0,100.0,146.1333333,-2.403333333,0.0732546248954169
461,1.0,0.0,12.515,0.0,36.0,2.0,12.0,10.0,40.0,100.0,231.5,-2.746666667,0.3225806451612903
462,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,60.0,100.0,161.8333333,-1.385333333,0.3924886120665613
463,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,60.0,100.0,137.9,-0.514,0.09156828111927118
464,1.0,0.0,12.515,0.0,36.0,2.0,12.0,10.0,60.0,100.0,150.0,2.373333333,0.379380868271823
465,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,80.0,100.0,169.0,-0.684,0.4530073440550339
466,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,80.0,100.0,125.6,2.273333333,0.5081342381704936
467,1.0,0.0,12.515,0.0,36.0,2.0,12.0,10.0,80.0,100.0,136.8666667,4.91,0.5279352979455239
469,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,20.0,100.0,130.5333333,4.226666667,0.49828018964395276
471,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,40.0,100.0,161.9,-3.153333333,0.6092776796504602
473,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,40.0,100.0,354.4666667,-1.543333333,0.6553871897369155
474,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,60.0,100.0,202.1,-2.55,0.7133959282327786
475,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,60.0,100.0,139.7,0.63,0.3276006321465092
476,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,60.0,100.0,122.8,6.336666667,0.4310681416751883
477,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,80.0,100.0,152.7666667,6.34,0.6937807939016454
478,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,80.0,100.0,134.0,12.86666667,0.48294134052245047
479,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,80.0,100.0,194.4666667,6.843333333,0.4280933345728363
481,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,20.0,10.0,151.5333333,-2.966666667,0.4436181091382356
483,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,40.0,10.0,99.71,-1.186666667,0.6357720554057822
484,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,40.0,10.0,247.2666667,-3.813333333,0.6591986613368039
487,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,60.0,10.0,297.0,-9.57,0.483220228688296
488,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,60.0,10.0,134.1333333,-1.092,0.5771125778562798
489,1.0,0.0,12.515,0.0,36.0,2.0,4.0,200.0,80.0,10.0,165.4666667,-1.492333333,0.41089523101236397
490,1.0,0.0,12.515,0.0,36.0,2.0,8.0,200.0,80.0,10.0,110.9666667,-1.123,0.4903783582783304
491,1.0,0.0,12.515,0.0,36.0,2.0,12.0,200.0,80.0,10.0,128.5333333,-0.810666667,0.4935390908245793
495,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,40.0,10.0,116.2666667,-1.833333333,0.7431439992562983
496,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,40.0,10.0,285.1333333,-6.416666667,0.42391001208515383
499,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,60.0,10.0,293.6333333,-9.726666667,0.48424281862972945
500,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,60.0,10.0,162.9333333,-1.077,0.4658361996839267
501,1.0,0.0,12.515,0.0,36.0,2.0,4.0,100.0,80.0,10.0,170.3,-2.533333333,0.4762480245421586
502,1.0,0.0,12.515,0.0,36.0,2.0,8.0,100.0,80.0,10.0,136.5,-0.168,0.6770475039509156
503,1.0,0.0,12.515,0.0,36.0,2.0,12.0,100.0,80.0,10.0,108.9333333,-0.043,0.7228781258715256
507,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,40.0,10.0,133.4,-0.863666667,0.4902853955563819
508,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,40.0,10.0,282.5,-7.106666667,0.7417495584270708
510,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,60.0,10.0,4622.333333,-22.2,0.3350376499023891
511,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,60.0,10.0,296.5666667,-14.66666667,0.4980942642000558
512,1.0,0.0,12.515,0.0,36.0,2.0,12.0,50.0,60.0,10.0,138.1666667,-1.203333333,0.1868550711164823
513,1.0,0.0,12.515,0.0,36.0,2.0,4.0,50.0,80.0,10.0,159.1333333,-2.56,0.4141489262805615
514,1.0,0.0,12.515,0.0,36.0,2.0,8.0,50.0,80.0,10.0,117.1333333,-0.0463,0.42511852747048434
515,1.0,0.0,12.515,0.0,36.0,2.0,12.0,50.0,80.0,10.0,118.5666667,-0.131666667,0.12884633262061912
516,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,20.0,10.0,122.3666667,-1.79,0.48015245886399555
519,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,40.0,10.0,119.1333333,-0.88,0.4500325369526819
520,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,40.0,10.0,393.5333333,-13.16666667,0.49084317188807286
523,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,60.0,10.0,309.2,-9.383333333,0.16231291252207863
524,1.0,0.0,12.515,0.0,36.0,2.0,12.0,10.0,60.0,10.0,135.1,-1.427,0.3470298410337455
525,1.0,0.0,12.515,0.0,36.0,2.0,4.0,10.0,80.0,10.0,178.8,-2.843333333,0.5695825973784512
526,1.0,0.0,12.515,0.0,36.0,2.0,8.0,10.0,80.0,10.0,114.0333333,0.044333333,0.33615320256577114
527,1.0,0.0,12.515,0.0,36.0,2.0,12.0,10.0,80.0,10.0,99.51,-0.3501,0.4173096588268104
528,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,20.0,10.0,142.0666667,-2.13,0.510830157107
529,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,20.0,10.0,155.0333333,-0.929,0.5176164358092405
530,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,20.0,10.0,123.6666667,-0.883333333,0.448545133401506
531,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,40.0,10.0,108.2666667,-1.0292,0.49298131449288835
532,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,40.0,10.0,247.7,-6.423333333,0.5977503021288464
536,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,60.0,10.0,117.0333333,-1.237,0.6126243376406062
537,1.0,0.0,12.515,0.0,36.0,2.0,4.0,1.0,80.0,10.0,137.2333333,-0.065666667,0.345077623872827
538,1.0,0.0,12.515,0.0,36.0,2.0,8.0,1.0,80.0,10.0,104.4666667,2.526666667,0.4108022682904156
539,1.0,0.0,12.515,0.0,36.0,2.0,12.0,1.0,80.0,10.0,99.66666667,1.341666667,0.35093427535558236
540,1.0,1.0,6.12,0.0,36.0,0.0,4.0,200.0,20.0,500.0,445.6,-20.0,0.5059960955656782
541,1.0,1.0,6.12,0.0,36.0,0.0,8.0,200.0,20.0,500.0,388.5666667,-2.833333333,0.5281212233894208
542,1.0,1.0,6.12,0.0,36.0,0.0,12.0,200.0,20.0,500.0,168.4666667,-0.537666667,0.4480803197917635
543,1.0,1.0,6.12,0.0,36.0,0.0,4.0,200.0,40.0,500.0,206.4666667,-0.144176667,0.4676024914009482
544,1.0,1.0,6.12,0.0,36.0,0.0,8.0,200.0,40.0,500.0,266.9333333,-1.186333333,0.6249883796597564
545,1.0,1.0,6.12,0.0,36.0,0.0,12.0,200.0,40.0,500.0,295.5333333,-1.356666667,0.6809519382727527
546,1.0,1.0,6.12,0.0,36.0,0.0,4.0,200.0,60.0,500.0,213.1,-2.03,0.27814446406990795
547,1.0,1.0,6.12,0.0,36.0,0.0,8.0,200.0,60.0,500.0,226.5333333,0.105433333,0.47299432927396107
548,1.0,1.0,6.12,0.0,36.0,0.0,12.0,200.0,60.0,500.0,191.9333333,0.3688,0.6524123826345636
549,1.0,1.0,6.12,0.0,36.0,0.0,4.0,200.0,80.0,500.0,204.2,-2.123333333,0.1893650646090917
550,1.0,1.0,6.12,0.0,36.0,0.0,8.0,200.0,80.0,500.0,153.2,1.007666667,0.4058752440271451
551,1.0,1.0,6.12,0.0,36.0,0.0,12.0,200.0,80.0,500.0,145.8666667,-0.358366667,0.5968206749093614
552,1.0,1.0,6.12,0.0,36.0,0.0,4.0,100.0,20.0,500.0,380.3333333,-7.156666667,0.5549874500325369
553,1.0,1.0,6.12,0.0,36.0,0.0,8.0,100.0,20.0,500.0,300.7,-7.346666667,0.5034861020730688
554,1.0,1.0,6.12,0.0,36.0,0.0,12.0,100.0,20.0,500.0,323.3666667,-1.173666667,0.5559170772520219
555,1.0,1.0,6.12,0.0,36.0,0.0,4.0,100.0,40.0,500.0,197.5333333,-0.223666667,0.722041461373989
558,1.0,1.0,6.12,0.0,36.0,0.0,4.0,100.0,60.0,500.0,236.7333333,1.45,0.5236590127358929
559,1.0,1.0,6.12,0.0,36.0,0.0,8.0,100.0,60.0,500.0,169.5666667,2.546666667,0.6464627684298596
560,1.0,1.0,6.12,0.0,36.0,0.0,12.0,100.0,60.0,500.0,227.0666667,2.25,0.09156828111927118
561,1.0,1.0,6.12,0.0,36.0,0.0,4.0,100.0,80.0,500.0,198.8,-5.656666667,0.051129497071674246
562,1.0,1.0,6.12,0.0,36.0,0.0,8.0,100.0,80.0,500.0,148.5333333,-0.2858,0.09156828111927118
563,1.0,1.0,6.12,0.0,36.0,0.0,12.0,100.0,80.0,500.0,134.8333333,3.186666667,0.2470949149391094
564,1.0,1.0,6.12,0.0,36.0,0.0,4.0,50.0,20.0,500.0,160.3666667,3.713333333,0.4021567351492052
565,1.0,1.0,6.12,0.0,36.0,0.0,8.0,50.0,20.0,500.0,394.7333333,-4.73,0.06442316631030959
566,1.0,1.0,6.12,0.0,36.0,0.0,12.0,50.0,20.0,500.0,294.7666667,-2.64,0.2573208143534443
567,1.0,1.0,6.12,0.0,36.0,0.0,4.0,50.0,40.0,500.0,174.7,1.836666667,0.4074556103002696
568,1.0,1.0,6.12,0.0,36.0,0.0,8.0,50.0,40.0,500.0,308.0666667,5.443333333,0.19410616342846515
569,1.0,1.0,6.12,0.0,36.0,0.0,12.0,50.0,40.0,500.0,458.9333333,-1.491333333,0.35428093334572835
570,1.0,1.0,6.12,0.0,36.0,0.0,4.0,50.0,60.0,500.0,191.4333333,-1.055666667,0.5874314399925629
571,1.0,1.0,6.12,0.0,36.0,0.0,8.0,50.0,60.0,500.0,201.9333333,4.203333333,0.4306962907873942
572,1.0,1.0,6.12,0.0,36.0,0.0,12.0,50.0,60.0,500.0,211.8333333,0.894,0.41963372687552286
573,1.0,1.0,6.12,0.0,36.0,0.0,4.0,50.0,80.0,500.0,190.4333333,-0.884,0.6111369340894302
