,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HEK293
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,4.241
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,4.454
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,4.714
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,6.707
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,6.335
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,6.452
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,5.034
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,8.742
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,8.485
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,6.387
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,7.715
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,8.171
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,3.701
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,3.871
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,5.617
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,4.736
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,6.261
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,6.118
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,5.781
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,8.81
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,7.845
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,8.0
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,9.616
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,9.782
168,169,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,3.0
169,170,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,4.902
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,3.0
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,3.676
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,5.46
173,174,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,6.318
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,6.304
175,176,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,7.738
176,177,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,4.771
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,3.418
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,6.364
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,3.951
180,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,6.382
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,7.404
182,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,9.651
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,3.0
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,6.968
185,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,8.02
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,3.829
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,6.341
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,10.645
189,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,3.314
190,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,5.816
191,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,5.981
192,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,8.361
193,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,8.831
194,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,8.008
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,3.0
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,7.994
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,10.284
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,8.146
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,6.336
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,10.81
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,4.388
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,7.105
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,8.201
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,8.28
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,8.337
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,9.564
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,3.0
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,8.257
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,10.436
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,6.433
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,6.296
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,10.999
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,3.761
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,7.61
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,11.412
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,8.692
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,9.601
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,9.45
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,4.311
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,9.355
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,9.103
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,10.343
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,11.127
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,11.116
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,5.938
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,8.322
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,11.211
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,10.31
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,10.555
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,9.917
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,4.135
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,11.156
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,10.878
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,12.159
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,11.252
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,11.954
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,11.362
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,11.657
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,10.701
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,8.327
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,8.342
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,8.745
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,3.0
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,7.671
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,9.016
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,10.272
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,9.371
248,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,10.169
249,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,7.535
250,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,8.034
251,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,10.437
252,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,8.611
253,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,8.749
254,255,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,100,8.481
255,256,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,100,8.733
256,257,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,100,8.276
257,258,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,100,8.518
258,259,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,100,10.306
259,260,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,100,9.555
260,261,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,100,10.889
261,262,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,100,7.253
262,263,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,100,9.418
263,264,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,100,10.485
264,265,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,100,8.071
265,266,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,100,8.489
266,267,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,100,9.017
267,268,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,100,8.507
268,269,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,100,8.201
269,270,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,100,10.186
270,271,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,100,9.977
271,272,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,100,10.071
272,273,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,100,11.058
273,274,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,100,7.607
274,275,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,100,10.174
275,276,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,100,3.296
276,277,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,100,9.239
277,278,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,100,10.091
278,279,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,100,10.078
279,280,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,100,10.443
280,281,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,100,9.919
281,282,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,100,10.377
282,283,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,100,11.27
283,284,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,100,10.989
284,285,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,100,10.423
285,286,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,100,9.969
286,287,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,100,10.762
287,288,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,100,10.571
288,289,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,100,8.779
289,290,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,100,10.771
290,291,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,100,11.063
291,292,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,100,11.497
292,293,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,100,11.654
293,294,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,100,11.174
294,295,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,100,11.55
295,296,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,100,11.218
296,297,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,100,11.494
297,298,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,100,11.117
298,299,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,100,10.73
299,300,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,100,10.592
300,301,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,10,7.619
301,302,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,10,6.195
302,303,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,10,5.375
303,304,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,10,9.868
304,305,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,10,6.831
305,306,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,10,5.629
306,307,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,10,8.863
307,308,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,10,9.113
308,309,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,10,8.651
309,310,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,10,6.555
310,311,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,10,8.354
311,312,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,10,10.335
312,313,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,10,7.399
313,314,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,10,6.316
314,315,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,10,4.311
315,316,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,10,9.397
316,317,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,10,8.302
317,318,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,10,7.816
318,319,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,10,9.197
319,320,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,10,9.1
320,321,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,10,8.996
321,322,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,10,7.722
322,323,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,10,8.331
323,324,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,10,8.763
324,325,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,10,7.138
325,326,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,10,5.89
326,327,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,10,3.738
