,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI
175,0,1,9.3028,3,10,36,1,8,1,60,10,934.6333333,0.794
177,0,1,9.3028,3,10,36,1,4,1,80,10,201.0,0.139666667
178,0,1,9.3028,3,10,36,1,8,1,80,10,456.4,0.434666667
179,0,1,9.3028,3,10,36,1,12,1,80,10,398.5,0.280666667
180,1,1,9.784,2,9,36,2,4,200,20,500,288.9666667,0.464333333
181,1,1,9.784,2,9,36,2,8,200,20,500,533.7,0.403333333
182,1,1,9.784,2,9,36,2,12,200,20,500,342.3333333,0.496333333
183,1,1,9.784,2,9,36,2,4,200,40,500,237.1333333,0.211
184,1,1,9.784,2,9,36,2,8,200,40,500,185.1333333,0.237333333
185,1,1,9.784,2,9,36,2,12,200,40,500,267.7333333,0.806666667
186,1,1,9.784,2,9,36,2,4,200,60,500,206.6,0.246666667
187,1,1,9.784,2,9,36,2,8,200,60,500,173.1333333,0.215
188,1,1,9.784,2,9,36,2,12,200,60,500,183.6666667,0.260333333
189,1,1,9.784,2,9,36,2,4,200,80,500,166.6333333,0.219666667
190,1,1,9.784,2,9,36,2,8,200,80,500,137.6333333,0.164666667
191,1,1,9.784,2,9,36,2,12,200,80,500,158.8,0.225333333
192,1,1,9.784,2,9,36,2,4,100,20,500,577.6666667,0.252
193,1,1,9.784,2,9,36,2,8,100,20,500,562.7666667,0.344333333
194,1,1,9.784,2,9,36,2,12,100,20,500,288.1666667,0.316
195,1,1,9.784,2,9,36,2,4,100,40,500,240.3,0.260333333
196,1,1,9.784,2,9,36,2,8,100,40,500,191.7333333,0.264
197,1,1,9.784,2,9,36,2,12,100,40,500,189.9666667,0.325666667
198,1,1,9.784,2,9,36,2,4,100,60,500,192.8,0.182
199,1,1,9.784,2,9,36,2,8,100,60,500,170.3,0.242
200,1,1,9.784,2,9,36,2,12,100,60,500,181.6333333,0.328333333
201,1,1,9.784,2,9,36,2,4,100,80,500,172.9333333,0.206666667
202,1,1,9.784,2,9,36,2,8,100,80,500,148.0,0.187666667
203,1,1,9.784,2,9,36,2,12,100,80,500,162.5333333,0.193666667
204,1,1,9.784,2,9,36,2,4,50,20,500,650.7333333,0.484666667
205,1,1,9.784,2,9,36,2,8,50,20,500,403.2666667,0.629666667
206,1,1,9.784,2,9,36,2,12,50,20,500,475.3333333,0.162
207,1,1,9.784,2,9,36,2,4,50,40,500,191.8,0.206
208,1,1,9.784,2,9,36,2,8,50,40,500,170.0,0.294
209,1,1,9.784,2,9,36,2,12,50,40,500,307.4666667,0.557666667
210,1,1,9.784,2,9,36,2,4,50,60,500,189.0333333,0.220333333
211,1,1,9.784,2,9,36,2,8,50,60,500,155.4333333,0.233333333
212,1,1,9.784,2,9,36,2,12,50,60,500,256.8,0.427666667
213,1,1,9.784,2,9,36,2,4,50,80,500,202.3,0.256333333
214,1,1,9.784,2,9,36,2,8,50,80,500,135.8666667,0.173666667
215,1,1,9.784,2,9,36,2,12,50,80,500,163.5333333,0.229333333
216,1,1,9.784,2,9,36,2,4,10,20,500,431.8,0.420666667
217,1,1,9.784,2,9,36,2,8,10,20,500,465.9333333,0.358
218,1,1,9.784,2,9,36,2,12,10,20,500,599.5333333,0.522
219,1,1,9.784,2,9,36,2,4,10,40,500,197.5666667,0.262666667
220,1,1,9.784,2,9,36,2,8,10,40,500,199.4,0.327666667
221,1,1,9.784,2,9,36,2,12,10,40,500,208.5,0.330666667
222,1,1,9.784,2,9,36,2,4,10,60,500,193.9,0.197333333
223,1,1,9.784,2,9,36,2,8,10,60,500,159.3,0.201
224,1,1,9.784,2,9,36,2,12,10,60,500,190.9666667,0.275
225,1,1,9.784,2,9,36,2,4,10,80,500,166.8666667,0.266
226,1,1,9.784,2,9,36,2,8,10,80,500,146.8666667,0.208666667
227,1,1,9.784,2,9,36,2,12,10,80,500,167.8,0.237
228,1,1,9.784,2,9,36,2,4,1,20,500,287.7333333,0.327
229,1,1,9.784,2,9,36,2,8,1,20,500,306.5333333,0.569
230,1,1,9.784,2,9,36,2,12,1,20,500,473.2,0.17
231,1,1,9.784,2,9,36,2,4,1,40,500,261.7,0.330333333
232,1,1,9.784,2,9,36,2,8,1,40,500,205.1,0.196
233,1,1,9.784,2,9,36,2,12,1,40,500,177.9333333,0.268
234,1,1,9.784,2,9,36,2,4,1,60,500,224.5,0.256333333
235,1,1,9.784,2,9,36,2,8,1,60,500,195.0333333,0.254
236,1,1,9.784,2,9,36,2,12,1,60,500,179.0333333,0.261666667
237,1,1,9.784,2,9,36,2,4,1,80,500,237.6333333,0.301
238,1,1,9.784,2,9,36,2,8,1,80,500,164.9666667,0.183666667
239,1,1,9.784,2,9,36,2,12,1,80,500,171.5333333,0.187333333
240,1,1,9.784,2,9,36,2,4,200,20,100,177.0333333,0.31
241,1,1,9.784,2,9,36,2,8,200,20,100,223.4,0.485666667
242,1,1,9.784,2,9,36,2,12,200,20,100,169.1333333,0.368333333
243,1,1,9.784,2,9,36,2,4,200,40,100,193.5,0.275333333
244,1,1,9.784,2,9,36,2,8,200,40,100,139.0,0.236666667
245,1,1,9.784,2,9,36,2,12,200,40,100,159.2333333,0.303666667
246,1,1,9.784,2,9,36,2,4,200,60,100,171.7,0.236333333
247,1,1,9.784,2,9,36,2,8,200,60,100,150.1333333,0.232
248,1,1,9.784,2,9,36,2,12,200,60,100,177.5333333,0.260666667
249,1,1,9.784,2,9,36,2,4,200,80,100,219.6333333,0.307666667
250,1,1,9.784,2,9,36,2,8,200,80,100,141.4666667,0.245666667
251,1,1,9.784,2,9,36,2,12,200,80,100,160.0333333,0.184333333
252,1,1,9.784,2,9,36,2,4,100,20,100,176.9333333,0.24
253,1,1,9.784,2,9,36,2,8,100,20,100,263.8333333,0.433333333
254,1,1,9.784,2,9,36,2,12,100,20,100,303.3666667,0.674666667
255,1,1,9.784,2,9,36,2,4,100,40,100,174.6666667,0.246333333
256,1,1,9.784,2,9,36,2,8,100,40,100,148.9333333,0.217333333
257,1,1,9.784,2,9,36,2,12,100,40,100,152.4666667,0.288333333
258,1,1,9.784,2,9,36,2,4,100,60,100,164.2,0.201666667
259,1,1,9.784,2,9,36,2,8,100,60,100,150.2666667,0.204333333
260,1,1,9.784,2,9,36,2,12,100,60,100,191.8,0.244333333
261,1,1,9.784,2,9,36,2,4,100,80,100,241.5333333,0.267
262,1,1,9.784,2,9,36,2,8,100,80,100,148.0333333,0.21
263,1,1,9.784,2,9,36,2,12,100,80,100,155.5666667,0.167333333
264,1,1,9.784,2,9,36,2,4,50,20,100,153.8666667,0.203
265,1,1,9.784,2,9,36,2,8,50,20,100,203.9333333,0.501
266,1,1,9.784,2,9,36,2,12,50,20,100,263.9333333,0.412333333
267,1,1,9.784,2,9,36,2,4,50,40,100,170.0666667,0.220333333
268,1,1,9.784,2,9,36,2,8,50,40,100,158.3666667,0.279
269,1,1,9.784,2,9,36,2,12,50,40,100,130.9333333,0.215
270,1,1,9.784,2,9,36,2,4,50,60,100,160.7333333,0.165333333
271,1,1,9.784,2,9,36,2,8,50,60,100,138.7333333,0.185333333
272,1,1,9.784,2,9,36,2,12,50,60,100,152.2333333,0.245666667
273,1,1,9.784,2,9,36,2,4,50,80,100,189.0,0.199
274,1,1,9.784,2,9,36,2,8,50,80,100,147.2,0.241333333
275,1,1,9.784,2,9,36,2,12,50,80,100,148.5333333,0.207
276,1,1,9.784,2,9,36,2,4,10,20,100,154.9,0.957333333
277,1,1,9.784,2,9,36,2,8,10,20,100,230.9333333,0.481666667
278,1,1,9.784,2,9,36,2,12,10,20,100,168.1666667,0.428
