,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_N2a
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,3.892
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,4.007
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,3.178
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,3.296
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,4.635
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,2.079
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,1.609
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,1.609
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,1.946
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,2.996
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,1.386
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,2.89
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,3.97
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,2.773
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,3.296
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,4.06
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,4.317
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,2.079
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,2.079
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,1.609
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,1.946
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,2.996
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,1.792
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,2.639
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,3.932
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,2.773
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,3.664
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,4.143
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,4.543
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,2.485
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,2.197
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,1.946
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,2.565
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,3.045
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,2.485
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,4.043
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,4.043
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,2.89
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,4.997
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,4.913
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,4.111
168,169,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,3.555
169,170,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,4.942
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,3.367
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,1.386
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,1.946
173,174,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,1.946
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,1.386
175,176,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,1.609
176,177,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,1.386
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,1.386
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,1.099
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,1.099
180,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,6.284
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,6.05
182,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,5.537
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,5.442
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,5.147
185,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,4.369
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,5.7
