P_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio
1,6.12,0,8,36,0,8,500,80,100
1,6.12,0,8,36,0,12,500,80,100
1,6.12,0,8,36,0,4,500,20,50
1,6.12,0,8,36,0,8,500,20,50
1,6.12,0,8,36,0,12,500,20,50
1,6.12,0,8,36,0,4,500,40,50
1,6.12,0,8,36,0,8,500,40,50
1,6.12,0,8,36,0,12,500,40,50
1,6.12,0,8,36,0,4,500,60,50
1,6.12,0,8,36,0,8,500,60,50
1,6.12,0,8,36,0,12,500,60,50
1,6.12,0,8,36,0,4,500,80,50
1,6.12,0,8,36,0,8,500,80,50
1,6.12,0,8,36,0,12,500,80,50
1,6.12,0,8,36,0,4,500,20,10
1,6.12,0,8,36,0,8,500,20,10
1,6.12,0,8,36,0,12,500,20,10
1,6.12,0,8,36,0,4,500,40,10
1,6.12,0,8,36,0,8,500,40,10
1,6.12,0,8,36,0,12,500,40,10
1,6.12,0,8,36,0,4,500,60,10
1,6.12,0,8,36,0,8,500,60,10
1,6.12,0,8,36,0,12,500,60,10
1,6.12,0,8,36,0,4,500,80,10
1,6.12,0,8,36,0,8,500,80,10
1,6.12,0,8,36,0,12,500,80,10
1,6.12,0,8,36,0,4,500,20,1
1,6.12,0,8,36,0,8,500,20,1
1,6.12,0,8,36,0,12,500,20,1
1,6.12,0,8,36,0,4,500,40,1
1,6.12,0,8,36,0,8,500,40,1
1,6.12,0,8,36,0,12,500,40,1
1,6.12,0,8,36,0,4,500,60,1
1,6.12,0,8,36,0,8,500,60,1
1,6.12,0,8,36,0,12,500,60,1
1,6.12,0,8,36,0,4,500,80,1
