Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,RLU_N2a
154,18PG,0,1,9.3028,3,10,1,244.4333333,0.245,1.269666667,1.801395795,72.380066,10.10357457,6.556283096,9.158680541,3.664
155,18PG,0,1,9.3028,3,10,1,247.3666667,0.241333333,-1.149666667,1.88784672,75.85366335,10.588456,6.870926186,4.799107744,4.143
156,18PG,0,1,9.3028,3,10,1,250.6333333,0.152666667,-1.219666667,1.918537616,77.08682325,10.76059349,6.982627457,3.251418183,4.543
157,18PG,0,1,9.3028,3,10,1,636.7,1.0,-2.273333333,2.382736038,19.14766229,46.11947251,29.92726149,2.422867672,2.485
158,18PG,0,1,9.3028,3,10,1,691.7,0.956666667,-1.220666667,2.41195528,19.38246807,46.68503077,30.29425636,1.226289522,2.197
159,18PG,0,1,9.3028,3,10,1,1708.333333,0.6,-1.876666667,2.421854931,19.46202164,46.87664524,30.41859638,0.820881811,2.0
160,18PG,0,1,9.3028,3,10,1,111.6666667,0.341,-1.019766667,4.541071291,36.4920403,32.96081835,21.388515,4.617555052,2.565
161,18PG,0,1,9.3028,3,10,1,148.1333333,0.512,-1.61,4.648392328,37.35447195,33.73979516,21.89399872,2.363341831,3.045
162,18PG,0,1,9.3028,3,10,1,118.0,0.328666667,-1.693333333,4.685302231,37.65107986,34.00770124,22.06784493,1.588071742,2.485
163,18PG,0,1,9.3028,3,10,1,233.5,0.391333333,-0.879,6.505280507,52.27642184,20.98568626,13.6177646,6.614846794,4.043
164,18PG,0,1,9.3028,3,10,1,264.6666667,0.407666667,-0.790333333,6.727797247,54.06456595,21.70351334,14.08356782,3.420555655,4.043
165,18PG,0,1,9.3028,3,10,1,220.9,0.306,-1.506666667,6.805391313,54.68811171,21.95382763,14.24599859,2.306670756,2.89
166,18PG,0,1,9.3028,3,10,1,256.1,0.264333333,0.606333333,8.300426831,66.70221431,10.04127453,6.51585615,8.440228174,4.997
167,18PG,0,1,9.3028,3,10,1,278.3,0.217333333,-1.317,8.666148171,69.64115031,10.48369857,6.802948331,4.406054619,4.913
168,18PG,0,1,9.3028,3,10,1,265.9,0.18,-0.951333333,8.795323761,70.6792051,10.63996615,6.904351497,2.981153496,4.111
169,18PG,0,1,9.3028,3,10,1,675.8333333,0.61,-3.106666667,12.97329484,10.42533728,45.65580418,29.62638373,1.319179975,3.555
170,18PG,0,1,9.3028,3,10,1,682.8333333,0.205,-31.73333333,13.05943355,10.49455833,45.95894478,29.82309387,0.663969464,4.942
171,18PG,0,1,9.3028,3,10,1,464.0,0.574666667,-2.386666667,13.08840122,10.51783674,46.06088819,29.88924569,0.443628161,3.367
172,18PG,0,1,9.3028,3,10,1,163.5666667,0.133666667,-1.746666667,24.50166173,19.68953073,32.334974,20.98240004,2.491433511,2.0
173,18PG,0,1,9.3028,3,10,1,459.9666667,0.154666667,-1.683333333,24.81073319,19.93790049,32.74285725,21.24707846,1.261430608,2.0
174,18PG,0,1,9.3028,3,10,1,753.9666667,0.546333333,-1.856666667,24.91549709,20.02208875,32.88111474,21.33679474,0.844504685,2.0
175,18PG,0,1,9.3028,3,10,1,194.8666667,0.121,-1.74,34.81376453,27.97633459,20.41951609,13.25037266,3.540012125,2.0
176,18PG,0,1,9.3028,3,10,1,934.6333333,0.794,-1.833333333,35.44107369,28.48044011,20.78745531,13.48913109,1.801899798,2.0
177,18PG,0,1,9.3028,3,10,1,1021.5,0.392,-1.422666667,35.65523086,28.65253678,20.91306614,13.57064088,1.208525337,2.0
178,18PG,0,1,9.3028,3,10,1,201.0,0.139666667,-1.713333333,44.09243584,35.4326731,9.698170559,6.293213483,4.483507015,2.0
179,18PG,0,1,9.3028,3,10,1,456.4,0.434666667,-2.203333333,45.10354617,36.24520117,9.920565176,6.437526969,2.293160514,2.0
180,18PG,0,1,9.3028,3,10,1,398.5,0.280666667,-1.184333333,45.45096738,36.52438879,9.996980782,6.487113612,1.540549433,2.0
181,DOPE,1,1,9.784,2,9,2,288.9666667,0.464333333,-7.436666667,0.161855236,27.93674066,67.49050049,0.875901543,3.535002069,6.284
182,DOPE,1,1,9.784,2,9,2,533.7,0.403333333,-3.523333333,0.164767504,28.43940748,68.7048596,0.891661672,1.799303747,6.05
183,DOPE,1,1,9.784,2,9,2,342.3333333,0.496333333,-3.396666667,0.165761689,28.61100712,69.11941567,0.897041841,1.206773673,5.537
184,DOPE,1,1,9.784,2,9,2,237.1333333,0.211,-4.23,0.28261291,48.7799083,44.1915424,0.573524272,6.172412124,5.442
185,DOPE,1,1,9.784,2,9,2,185.1333333,0.237333333,-1.803333333,0.291612678,50.33329758,45.59881581,0.591788071,3.184485858,5.147
186,DOPE,1,1,9.784,2,9,2,267.7333333,0.806666667,-2.356666667,0.294741344,50.87331542,46.08803817,0.59813727,2.145767796,4.369
187,DOPE,1,1,9.784,2,9,2,206.6,0.246666667,-5.31,0.376162598,64.92688891,26.14208699,0.339275812,8.215585685,5.7
188,DOPE,1,1,9.784,2,9,2,173.1333333,0.215,0.721666667,0.392276504,67.70820157,27.26195149,0.353809576,4.283760865,4.682
