,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
283,284,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,60,100,1.705
284,285,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,60,100,4.363
285,286,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,80,100,2.89
286,287,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,80,100,3.526
287,288,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,80,100,5.844
288,289,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,20,100,5.816
289,290,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,20,100,3.296
290,291,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,20,100,4.311
291,292,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,40,100,6.029
292,293,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,40,100,6.372
293,294,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,40,100,6.458
294,295,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,60,100,6.006
295,296,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,60,100,6.537
296,297,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,60,100,7.636
297,298,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,80,100,7.84
298,299,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,80,100,8.234
299,300,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,80,100,8.221
300,301,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,20,10,1.099
301,302,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,20,10,0.916
302,303,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,20,10,0.405
303,304,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,40,10,0.916
304,305,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,40,10,0.693
305,306,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,40,10,1.386
306,307,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,60,10,1.099
307,308,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,60,10,0.916
308,309,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,60,10,1.386
309,310,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,80,10,1.872
310,311,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,80,10,1.099
311,312,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,80,10,3.597
312,313,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,20,10,0.916
313,314,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,20,10,1.0
314,315,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,20,10,0.693
315,316,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,40,10,1.386
316,317,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,40,10,0.693
317,318,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,40,10,1.0
318,319,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,60,10,0.405
319,320,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,60,10,1.099
320,321,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,60,10,1.504
321,322,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,80,10,1.253
322,323,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,80,10,1.386
323,324,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,80,10,2.079
324,325,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,20,10,1.253
325,326,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,20,10,0.916
326,327,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,20,10,0.916
