,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta
514,1,0,2,8,50,80,10,-0.0463
515,1,0,2,12,50,80,10,-0.131666667
516,1,0,2,4,10,20,10,-1.79
517,1,0,2,8,10,20,10,-3.726666667
518,1,0,2,12,10,20,10,-1.776666667
519,1,0,2,4,10,40,10,-0.88
520,1,0,2,8,10,40,10,-13.16666667
521,1,0,2,12,10,40,10,-6.36
522,1,0,2,4,10,60,10,-19.56666667
523,1,0,2,8,10,60,10,-9.383333333
524,1,0,2,12,10,60,10,-1.427
525,1,0,2,4,10,80,10,-2.843333333
526,1,0,2,8,10,80,10,0.044333333
527,1,0,2,12,10,80,10,-0.3501
528,1,0,2,4,1,20,10,-2.13
529,1,0,2,8,1,20,10,-0.929
530,1,0,2,12,1,20,10,-0.883333333
531,1,0,2,4,1,40,10,-1.0292
532,1,0,2,8,1,40,10,-6.423333333
533,1,0,2,12,1,40,10,-11.56666667
534,1,0,2,4,1,60,10,-20.7
535,1,0,2,8,1,60,10,-4.423333333
536,1,0,2,12,1,60,10,-1.237
537,1,0,2,4,1,80,10,-0.065666667
538,1,0,2,8,1,80,10,2.526666667
539,1,0,2,12,1,80,10,1.341666667
540,1,1,0,4,200,20,500,-20.0
541,1,1,0,8,200,20,500,-2.833333333
542,1,1,0,12,200,20,500,-0.537666667
543,1,1,0,4,200,40,500,-0.144176667
544,1,1,0,8,200,40,500,-1.186333333
545,1,1,0,12,200,40,500,-1.356666667
546,1,1,0,4,200,60,500,-2.03
547,1,1,0,8,200,60,500,0.105433333
548,1,1,0,12,200,60,500,0.3688
549,1,1,0,4,200,80,500,-2.123333333
550,1,1,0,8,200,80,500,1.007666667
551,1,1,0,12,200,80,500,-0.358366667
552,1,1,0,4,100,20,500,-7.156666667
553,1,1,0,8,100,20,500,-7.346666667
554,1,1,0,12,100,20,500,-1.173666667
555,1,1,0,4,100,40,500,-0.223666667
556,1,1,0,8,100,40,500,-1.3988
557,1,1,0,12,100,40,500,-1.876666667
558,1,1,0,4,100,60,500,1.45
559,1,1,0,8,100,60,500,2.546666667
560,1,1,0,12,100,60,500,2.25
561,1,1,0,4,100,80,500,-5.656666667
562,1,1,0,8,100,80,500,-0.2858
563,1,1,0,12,100,80,500,3.186666667
564,1,1,0,4,50,20,500,3.713333333
565,1,1,0,8,50,20,500,-4.73
566,1,1,0,12,50,20,500,-2.64
567,1,1,0,4,50,40,500,1.836666667
568,1,1,0,8,50,40,500,5.443333333
569,1,1,0,12,50,40,500,-1.491333333
570,1,1,0,4,50,60,500,-1.055666667
571,1,1,0,8,50,60,500,4.203333333
572,1,1,0,12,50,60,500,0.894
573,1,1,0,4,50,80,500,-0.884
574,1,1,0,8,50,80,500,-0.851
575,1,1,0,12,50,80,500,2.053333333
576,1,1,0,4,10,20,500,-15.63333333
577,1,1,0,8,10,20,500,-3.236666667
578,1,1,0,12,10,20,500,-2.386666667
579,1,1,0,4,10,40,500,-1.123333333
580,1,1,0,8,10,40,500,0.326666667
581,1,1,0,12,10,40,500,6.206666667
582,1,1,0,4,10,60,500,-2.076666667
583,1,1,0,8,10,60,500,1.556666667
584,1,1,0,12,10,60,500,-0.4172
585,1,1,0,4,10,80,500,-2.526666667
586,1,1,0,8,10,80,500,-0.499666667
587,1,1,0,12,10,80,500,-0.839666667
588,1,1,0,4,1,20,500,-2.03
589,1,1,0,8,1,20,500,-1.383333333
590,1,1,0,12,1,20,500,0.513666667
591,1,1,0,4,1,40,500,0.588
592,1,1,0,8,1,40,500,1.082333333
593,1,1,0,12,1,40,500,1.406666667
594,1,1,0,4,1,60,500,0.446333333
595,1,1,0,8,1,60,500,5.146666667
596,1,1,0,12,1,60,500,2.226666667
597,1,1,0,4,1,80,500,-8.26
598,1,1,0,8,1,80,500,-1.306
599,1,1,0,12,1,80,500,1.663666667
600,1,1,0,4,200,20,100,-4.956666667
601,1,1,0,8,200,20,100,-3.503333333
602,1,1,0,12,200,20,100,-2.953333333
603,1,1,0,4,200,40,100,-3.166666667
604,1,1,0,8,200,40,100,2.283333333
605,1,1,0,12,200,40,100,2.306666667
606,1,1,0,4,200,60,100,-1.85
607,1,1,0,8,200,60,100,0.132760333
608,1,1,0,12,200,60,100,-0.077333333
609,1,1,0,4,200,80,100,-4.35
610,1,1,0,8,200,80,100,-1.425333333
611,1,1,0,12,200,80,100,-0.192333333
612,1,1,0,4,100,20,100,-4.316666667
613,1,1,0,8,100,20,100,-3.67
614,1,1,0,12,100,20,100,2.13
615,1,1,0,4,100,40,100,-2.493333333
616,1,1,0,8,100,40,100,-0.763333333
