,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HEK293,Exp_HEK293
169,170,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,4.9736851553908945,144.55862800300736
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,2.890175541218196,17.99646844628277
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,3.9017327467543064,49.48812524496258
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,5.501655781973094,245.09742436523857
173,174,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,6.335874760306513,564.462956872091
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,6.32212449677532,556.7545601562944
175,176,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,7.742349951118875,2303.8800322377556
176,177,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,4.8523210043217055,128.0372201819104
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,3.7015078119165454,40.50833728909931
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,6.381077968404751,590.5639739642864
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,4.126929979930108,61.98732817800774
180,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,6.398775856131577,601.1087437161646
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,7.410069668572374,1652.5414730593152
182,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,9.651643404707485,15547.317655782786
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,3.067867326545081,21.49600978566695
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,6.977371292868839,1072.0964320642615
185,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,8.02328280591958,3051.1773329434304
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,4.025646267335598,56.016498719574216
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,6.35847186235357,577.363391185623
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,10.645238168061342,41992.15810560325
189,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,3.624204532932834,37.49488534719495
190,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,5.845359746876848,345.6268576012029
191,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,6.00594915265607,405.8360063095865
192,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,8.363335374952017,4286.969598221566
193,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,8.83246025365408,6853.126521721684
194,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,8.011322371138933,3014.9012964782914
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,2.944332606715115,18.997979030914447
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,7.997369132634326,2973.125789209535
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,10.284341697142855,29270.682509921295
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,8.148894732356966,3459.5532193442655
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,6.353558676019996,574.5336544667744
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,10.810201944857374,49523.468378402154
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,4.505121087700593,90.47929931588719
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,7.113176379076187,1228.0420847343785
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,8.203740033214878,3654.5930787218194
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,8.282532163366998,3954.194381980303
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,8.339392034158958,4185.544299812738
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,9.56470186753993,14252.703222632666
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,3.044577296196901,21.00115205954286
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,8.259591001787227,3864.5131982186776
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,10.436293520911928,34074.12306891492
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,6.448948353535925,632.0372634323942
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,6.314268752552562,552.3979732577435
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,10.999167170134742,59824.297500576984
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,3.9701295586018484,52.991395886114645
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,7.614942484361428,2028.2780977168138
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,11.412110613300971,90410.04100723316
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,8.69367783008022,5965.080501488238
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,9.601676381618446,14789.553731995058
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,9.450786586212654,12718.165263666002
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,4.436928638938833,84.51496666194011
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,9.35586494260185,11566.461537527211
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,9.104112693857111,8992.198920739182
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,10.343322123362315,31049.007533683096
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,11.12714708668498,67992.11942849605
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,11.116148713449013,67248.41399368863
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,5.96403121848088,389.1758190425979
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,8.324428141271175,4123.378544087036
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,11.211135236896807,73949.31735279463
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,10.310332928975969,30041.436640212873
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,10.555260594445686,38378.803517698085
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,9.917493167590791,20282.083063455193
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,4.283442980111408,72.48959107046551
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,11.156142882727837,69992.46572423945
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,10.878188670350376,53007.49885470244
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,12.159052408534311,190813.61798460368
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,11.25212980466557,77043.83346660453
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,11.954064332405933,155447.65535274608
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,11.362116284236459,86001.17898215128
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,11.657086578573116,115507.01910543675
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,10.701225198683314,44410.233170750245
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,8.329416045483903,4143.996939841889
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,8.344380118025319,4206.474302714906
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,8.746591289385334,6289.213419841432
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,3.1355228402877575,23.00065836967064
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,7.675650683179752,2155.225598590999
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,9.017213772677467,8243.77601906243
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,10.27234582149628,28921.65268708705
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,9.371851219486267,11752.852070073623
248,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,10.169383332967504,26091.9817369506
249,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,7.540326402135691,1882.4443587563562
250,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,8.037237240647697,3094.0532466966106
