,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_ARPE19,Exp_ARPE19
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,4.276550399640532,71.99166868701877
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,2.7726789280592854,16.001443358210743
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,2.5650388426503046,13.001163359504929
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,2.6389732352794555,13.998822728800372
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,2.7726789280592854,16.001443358210743
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,2.7726789280592854,16.001443358210743
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,3.044577296196901,21.00115205954286
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,2.7726789280592854,16.001443358210743
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,4.158896544087842,64.00086149240104
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,3.8715286485800133,48.01572918485793
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,2.707904251597284,14.997810917177775
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,3.2957025435723697,26.99637353790015
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,3.9121194432994737,50.00482212608044
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,2.7726789280592854,16.001443358210743
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,2.7726789280592854,16.001443358210743
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,2.7726789280592854,16.001443358210743
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,2.944332606715115,18.997979030914447
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,2.6389732352794555,13.998822728800372
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,2.707904251597284,14.997810917177775
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,2.833250342481756,17.000628984869827
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,2.707904251597284,14.997810917177775
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,2.7726789280592854,16.001443358210743
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,2.5650388426503046,13.001163359504929
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,2.707904251597284,14.997810917177775
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,3.583449217486555,35.99749013259223
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,2.707904251597284,14.997810917177775
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,2.7726789280592854,16.001443358210743
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,2.833250342481756,17.000628984869827
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,2.7726789280592854,16.001443358210743
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,2.7726789280592854,16.001443358210743
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,2.890175541218196,17.99646844628277
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,2.707904251597284,14.997810917177775
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,3.0910933727360477,22.001120254831193
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,2.944332606715115,18.997979030914447
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,2.890175541218196,17.99646844628277
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,3.7135817413769767,41.00039666349822
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,3.783911058128969,43.98774437241097
168,169,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,3.1355228402877575,23.00065836967064
169,170,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,4.142889154013742,62.98453083967617
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,3.218845704509294,24.999247002367667
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,2.707904251597284,14.997810917177775
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,2.5650388426503046,13.001163359504929
173,174,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,2.5650388426503046,13.001163359504929
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,2.833250342481756,17.000628984869827
175,176,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,2.5650388426503046,13.001163359504929
176,177,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,2.707904251597284,14.997810917177775
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,2.707904251597284,14.997810917177775
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,2.5650388426503046,13.001163359504929
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,2.6389732352794555,13.998822728800372
180,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,5.605470230216037,271.9097555602595
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,6.575045602406816,716.97831954355
182,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,6.400742616978767,602.2921442096239
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,5.043674198729491,155.0386124892226
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,6.224991911427575,505.2189559401861
185,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,6.840750585985413,935.1908124790585
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,5.471939569346468,237.9212102151874
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,3.583449217486555,35.99749013259223
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,5.209210494665597,182.94956150603522
189,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,2.707904251597284,14.997810917177775
190,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,2.7726789280592854,16.001443358210743
191,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,3.044577296196901,21.00115205954286
192,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,6.514922495594368,675.1416330443618
193,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,6.704331638756133,815.9325063657402
194,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,6.6480502611516465,771.2790658227758
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,5.236646900435198,188.03853221800213
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,5.560238444692277,259.88479708601835
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,6.218130941621965,501.76452785248176
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,4.369354830091417,78.99265157411662
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,4.219129855549327,67.97431107895926
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,5.365861628687322,213.97552272437034
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,3.2957025435723697,26.99637353790015
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,2.890175541218196,17.99646844628277
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,3.783911058128969,43.98774437241097
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,6.653972698201914,775.8604706881022
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,5.0175040469197745,151.03385952151402
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,6.310341306498713,550.2327147687009
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,4.3310331763890195,76.02279096040995
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,4.554188930993927,95.0296483678605
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,4.477594904181862,88.02271482502678
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,3.178020388471803,23.99919740839273
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,3.526322527024296,33.998708106421155
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,4.189356345717404,65.98030878164415
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,3.044577296196901,21.00115205954286
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,2.890175541218196,17.99646844628277
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,3.63743547207347,37.99427430059613
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,4.53274174762904,93.01323060728215
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,4.691239028118217,108.98813554766788
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,5.0175040469197745,151.03385952151402
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,4.174105351155915,64.98167786471603
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,4.5434584955371875,94.01539030687962
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,5.26222923113637,192.91105565204543
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,3.737870841523859,42.0084522264643
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,3.7135817413769767,41.00039666349822
