Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,18PG,DOPE,DSPC,DOTAP,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_ARPE19
57,18PG,0,1,8.8188,3,10,1,1,0,0,0,1034.266667,0.683333333,-5.81,12,0.199600798,60,50.0,1.5
58,18PG,0,1,8.8188,3,10,1,1,0,0,0,476.1166667,0.131333333,-6.776666667,4,0.199600798,80,50.0,1.5
59,18PG,0,1,8.8188,3,10,1,1,0,0,0,418.8333333,0.151833333,-5.44,8,0.199600798,80,50.0,1.5
60,18PG,0,1,8.8188,3,10,1,1,0,0,0,268.4333333,0.102,-4.47,12,0.199600798,80,50.0,1.609
61,18PG,0,1,8.8188,3,10,1,1,0,0,0,514.5666667,0.964,-1.836666667,4,0.99009901,20,0.497512438,5.242
62,18PG,0,1,8.8188,3,10,1,1,0,0,0,209.0,0.518,-1.497333333,8,0.99009901,20,0.497512438,5.1
63,18PG,0,1,8.8188,3,10,1,1,0,0,0,296.5333333,0.349333333,-1.007333333,12,0.99009901,20,0.497512438,3.761
64,18PG,0,1,8.8188,3,10,1,1,0,0,0,75.20666667,0.609333333,-1.843333333,4,0.99009901,40,0.497512438,4.86
65,18PG,0,1,8.8188,3,10,1,1,0,0,0,210.5666667,0.548,-0.593366667,8,0.99009901,40,0.497512438,5.347
66,18PG,0,1,8.8188,3,10,1,1,0,0,0,184.1666667,0.46,-7.61,12,0.99009901,40,0.497512438,3.584
67,18PG,0,1,8.8188,3,10,1,1,0,0,0,133.6666667,0.504666667,-4.72,4,0.99009901,60,0.497512438,2.89
68,18PG,0,1,8.8188,3,10,1,1,0,0,0,145.6666667,0.482666667,-3.62,8,0.99009901,60,0.497512438,3.497
69,18PG,0,1,8.8188,3,10,1,1,0,0,0,164.5333333,0.325666667,-4.233333333,12,0.99009901,60,0.497512438,1.792
70,18PG,0,1,8.8188,3,10,1,1,0,0,0,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,1.946
71,18PG,0,1,8.8188,3,10,1,1,0,0,0,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,1.609
72,18PG,0,1,8.8188,3,10,1,1,0,0,0,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,1.946
73,18PG,0,1,8.8188,3,10,1,1,0,0,0,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,5.338
74,18PG,0,1,8.8188,3,10,1,1,0,0,0,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,5.05
75,18PG,0,1,8.8188,3,10,1,1,0,0,0,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,3.689
76,18PG,0,1,8.8188,3,10,1,1,0,0,0,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,4.673
77,18PG,0,1,8.8188,3,10,1,1,0,0,0,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,3.434
78,18PG,0,1,8.8188,3,10,1,1,0,0,0,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,3.584
79,18PG,0,1,8.8188,3,10,1,1,0,0,0,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,1.609
80,18PG,0,1,8.8188,3,10,1,1,0,0,0,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,2.89
81,18PG,0,1,8.8188,3,10,1,1,0,0,0,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,1.946
82,18PG,0,1,8.8188,3,10,1,1,0,0,0,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,1.609
83,18PG,0,1,8.8188,3,10,1,1,0,0,0,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,1.5
84,18PG,0,1,8.8188,3,10,1,1,0,0,0,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,1.792
85,18PG,0,1,8.8188,3,10,1,1,0,0,0,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,5.056
86,18PG,0,1,8.8188,3,10,1,1,0,0,0,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,5.394
87,18PG,0,1,8.8188,3,10,1,1,0,0,0,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,3.892
