Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_N2a
144,18PG,0,1,9.3028,3,10,1,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,4.317
145,18PG,0,1,9.3028,3,10,1,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,2.079
146,18PG,0,1,9.3028,3,10,1,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,2.079
147,18PG,0,1,9.3028,3,10,1,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,2.0
148,18PG,0,1,9.3028,3,10,1,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,2.0
149,18PG,0,1,9.3028,3,10,1,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,2.996
150,18PG,0,1,9.3028,3,10,1,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,2.0
151,18PG,0,1,9.3028,3,10,1,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,2.639
152,18PG,0,1,9.3028,3,10,1,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,3.932
153,18PG,0,1,9.3028,3,10,1,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,2.773
154,18PG,0,1,9.3028,3,10,1,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,3.664
155,18PG,0,1,9.3028,3,10,1,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,4.143
156,18PG,0,1,9.3028,3,10,1,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,4.543
157,18PG,0,1,9.3028,3,10,1,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,2.485
158,18PG,0,1,9.3028,3,10,1,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,2.197
159,18PG,0,1,9.3028,3,10,1,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,2.0
160,18PG,0,1,9.3028,3,10,1,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,2.565
161,18PG,0,1,9.3028,3,10,1,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,3.045
162,18PG,0,1,9.3028,3,10,1,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,2.485
163,18PG,0,1,9.3028,3,10,1,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,4.043
164,18PG,0,1,9.3028,3,10,1,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,4.043
165,18PG,0,1,9.3028,3,10,1,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,2.89
166,18PG,0,1,9.3028,3,10,1,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,4.997
167,18PG,0,1,9.3028,3,10,1,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,4.913
168,18PG,0,1,9.3028,3,10,1,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,4.111
169,18PG,0,1,9.3028,3,10,1,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,3.555
170,18PG,0,1,9.3028,3,10,1,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,4.942
