Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_B16
131,18PG,0,1,9.3028,3,10,36,1,237.4,0.258666667,-0.939,8,10,80,200,2.0
132,18PG,0,1,9.3028,3,10,36,1,208.8333333,0.286,-0.976,12,10,80,200,2.0
133,18PG,0,1,9.3028,3,10,36,1,129.5333333,0.231666667,-1.733333333,4,10,20,100,2.0
134,18PG,0,1,9.3028,3,10,36,1,247.0333333,0.714,-1.54,8,10,20,100,2.0
135,18PG,0,1,9.3028,3,10,36,1,1955.333333,0.704333333,-1.195666667,12,10,20,100,2.0
136,18PG,0,1,9.3028,3,10,36,1,181.4666667,0.334,-1.7,4,10,40,100,2.0
137,18PG,0,1,9.3028,3,10,36,1,144.4,0.396,-0.988333333,8,10,40,100,2.0
138,18PG,0,1,9.3028,3,10,36,1,123.8,0.366333333,-2.643333333,12,10,40,100,2.0
139,18PG,0,1,9.3028,3,10,36,1,253.1333333,0.477333333,-0.603333333,4,10,60,100,2.0
140,18PG,0,1,9.3028,3,10,36,1,212.9666667,0.330666667,-0.511666667,8,10,60,100,2.0
141,18PG,0,1,9.3028,3,10,36,1,219.6333333,0.313,-1.116666667,12,10,60,100,2.0
142,18PG,0,1,9.3028,3,10,36,1,243.4333333,0.302666667,2.933333333,4,10,80,100,2.0
143,18PG,0,1,9.3028,3,10,36,1,226.2666667,0.251333333,0.520333333,8,10,80,100,2.0
144,18PG,0,1,9.3028,3,10,36,1,262.2333333,0.095333333,-2.67,12,10,80,100,2.0
145,18PG,0,1,9.3028,3,10,36,1,135.9333333,0.257333333,-1.596666667,4,10,20,50,2.0
146,18PG,0,1,9.3028,3,10,36,1,967.0333333,1.0,-1.566666667,8,10,20,50,2.0
147,18PG,0,1,9.3028,3,10,36,1,1599.666667,0.223666667,-2.373333333,12,10,20,50,2.0
148,18PG,0,1,9.3028,3,10,36,1,113.75,0.3625,-1.247666667,4,10,40,50,2.0
149,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.315,-1.014,8,10,40,50,2.0
150,18PG,0,1,9.3028,3,10,36,1,142.3333333,0.393333333,-3.99,12,10,40,50,2.0
151,18PG,0,1,9.3028,3,10,36,1,256.9666667,0.289333333,-10.79333333,4,10,60,50,2.0
152,18PG,0,1,9.3028,3,10,36,1,205.9333333,0.315,-1.503333333,8,10,60,50,2.0
153,18PG,0,1,9.3028,3,10,36,1,184.7,0.339666667,-1.180333333,12,10,60,50,2.0
154,18PG,0,1,9.3028,3,10,36,1,244.4333333,0.245,1.269666667,4,10,80,50,2.0
155,18PG,0,1,9.3028,3,10,36,1,247.3666667,0.241333333,-1.149666667,8,10,80,50,2.0
156,18PG,0,1,9.3028,3,10,36,1,250.6333333,0.152666667,-1.219666667,12,10,80,50,2.0
157,18PG,0,1,9.3028,3,10,36,1,636.7,1.0,-2.273333333,4,10,20,10,2.0
158,18PG,0,1,9.3028,3,10,36,1,691.7,0.956666667,-1.220666667,8,10,20,10,2.0
159,18PG,0,1,9.3028,3,10,36,1,1708.333333,0.6,-1.876666667,12,10,20,10,2.0
160,18PG,0,1,9.3028,3,10,36,1,111.6666667,0.341,-1.019766667,4,10,40,10,2.0
161,18PG,0,1,9.3028,3,10,36,1,148.1333333,0.512,-1.61,8,10,40,10,2.0
162,18PG,0,1,9.3028,3,10,36,1,118.0,0.328666667,-1.693333333,12,10,40,10,2.0
163,18PG,0,1,9.3028,3,10,36,1,233.5,0.391333333,-0.879,4,10,60,10,2.0
164,18PG,0,1,9.3028,3,10,36,1,264.6666667,0.407666667,-0.790333333,8,10,60,10,2.0
165,18PG,0,1,9.3028,3,10,36,1,220.9,0.306,-1.506666667,12,10,60,10,2.0
166,18PG,0,1,9.3028,3,10,36,1,256.1,0.264333333,0.606333333,4,10,80,10,2.0
167,18PG,0,1,9.3028,3,10,36,1,278.3,0.217333333,-1.317,8,10,80,10,2.0
