,LGBM,XGB,RF,DT,kNN,MLR,lasso,PLS
620,0.011068241391670203,0.053908045974550345,0.10059721491542711,0.03997879700926241,0.06308728639060773,0.19031478658306844,0.14032124439829327,0.15801522959336545
621,0.1342059027330437,0.054174398708431326,0.051503417587322714,0.13104006249302533,0.031076588524272003,0.07351853917903761,0.024851860785600394,0.035882934200497665
622,0.016339130687037587,0.04465441405773163,0.05026005813551845,0.02187255886619795,0.4177308971364743,0.0350938043111747,0.08851060622165155,0.07196996391246116
623,0.002766210354746453,0.032182928174734116,0.010005740483895824,0.0,0.48088004521024463,0.038891659156610636,0.09291218334051907,0.0849033254207671
624,0.016339130687037587,0.03824832662940025,0.025001740345730942,0.02187255886619795,0.04303525371094341,0.04615206320797316,0.0987867756974711,0.08578164974242727
625,0.003345457287879643,0.002517496235668659,0.0003414797455641108,0.0,0.0,0.030410360397646552,0.014867041310607926,0.02014927342871977
626,0.003345457287879643,0.008051692508161068,0.0,0.0,0.0,0.025265342544107616,0.03335132787714154,0.02480821747072965
627,0.003864640121569947,0.0015862974105402827,0.0,0.0,0.0,0.02196350447499451,0.03120048113526805,0.026600979612302247
628,0.003345457287879643,0.005577990785241127,0.00027582487073615287,0.0,0.0,0.011573940387455406,0.027649982291473113,0.020579155395073746
629,0.003345457287879643,0.0015703674871474504,0.0,0.0,0.0,0.01101548332055391,0.04617592294702652,0.02894738022811766
630,0.017881202145260757,0.007132013328373432,0.036671610045647535,0.034691998660863727,0.0,0.025785647653176036,0.037458647313323795,0.03173804971795649
631,0.003288220428698157,0.00595668563619256,0.022847062136985133,0.0,0.0,0.01077651140714253,0.06732371747420515,0.057235247962625795
632,0.0021905326293051148,0.017840182408690453,0.06783116255094823,0.034691998660863727,0.0,0.011019687173185355,0.06607231846264314,0.04950538602588345
633,0.006227874910294569,0.0236931461840868,0.034808344094249676,0.0,0.0,0.020270127327428056,0.07722010441008118,0.070468320683008
634,0.002766210354746453,0.011389479972422123,0.003212485585686121,0.0,0.0,0.02900590436498307,0.03659968732806365,0.037607177682394716
635,0.002766210354746453,0.01448120828717947,0.001372056690101551,0.0,0.0,0.009652868626449207,0.0709329976456419,0.06231936601510202
636,0.0031383021913579906,0.005220971070230007,0.0,0.0,0.0,0.0009284943922951427,0.07253811152997966,0.07034506746749883
637,0.0031383021913579906,0.0019724490121006966,0.0,0.0,0.0,0.02032020627687814,0.0120764850111314,0.030394472607454766
638,0.003864640121569947,0.01852697879076004,0.002409561804858088,0.0,0.0,0.025099762411924353,0.029638259798990513,0.021790781415624273
639,0.002766210354746453,0.011825031600892544,0.0011408696946025366,0.0,0.0,0.06440602418667396,0.024898202819520487,0.025383675710699403
640,0.002766210354746453,0.0009779552929103374,0.001833593720938882,0.0,0.0,0.04635128039646397,0.008097953193207774,0.005861578692738602
641,0.0031383021913579906,0.0046700239181518555,0.007224137931034479,0.0,0.0,0.05778585769282851,0.1025954573515272,0.0984689515081596
642,0.003864640121569947,0.010690700262784958,0.012789671911617007,0.0,0.0,0.019811154472961223,0.020428521623960805,0.013529147815895391
643,0.0031383021913579906,0.004344259854406118,0.0,0.0,0.0,0.0004981377239835494,0.026659152995660157,0.01772390683375765
644,0.003864640121569947,0.005091439932584763,0.0009147974556411113,0.0,0.0,0.022683455655031937,0.04351593627457537,0.03576054962469295
645,0.006260215456979053,0.011250819079577923,0.013966740354587684,0.0,0.035323064147142286,0.020438466297489133,0.06528156999782561,0.05540825690793556
646,0.06941688224199134,0.10602309554815292,0.07888166180432668,0.0,0.0,0.07519440776007524,0.01297592455859023,0.014908342324355499
647,0.002766210354746453,0.0012312084436416626,0.0,0.0,0.0,0.024387850886799844,0.028627070987497866,0.03304722811046974
648,0.06941688224199134,0.12982720136642456,0.0792658265180863,0.0,0.44690889303100245,0.07592839274706126,0.01142652724059745,0.004587197775096578
649,0.002766210354746453,0.024294668808579445,0.0005914518468920876,0.0,0.0,0.008967270444019348,0.060194565930525606,0.06273036058090121
650,0.003864640121569947,0.0023071940522640944,0.0062819346799092325,0.0,0.0,0.020414013760321037,0.03230496166327579,0.02672565219064569
651,0.003864640121569947,0.003290359629318118,0.020640878994159874,0.0,0.019458741885485877,0.028781365645910495,0.023961639500611198,0.018170112775449422
652,0.003864640121569947,0.007291786838322878,0.00025238998623665506,0.0,0.0,0.0003322902552188589,0.001700589372796546,0.0019920223587015853
653,0.0031383021913579906,0.00015079461445566267,0.0004137373061042293,0.0,0.0,0.002376569241430815,0.026221093434101866,0.0224061895786926
654,0.003864640121569947,0.007166408933699131,0.0011357549380649479,0.0,0.0,0.013638922580922364,0.04084012840407489,0.03902348380168855
655,0.0031383021913579906,0.0022917010355740786,0.0,0.0,0.0,0.0322261812452489,0.05864486317464232,0.05534392668310395
656,0.006260215456979053,0.002346592955291271,0.021369042305014817,0.002845664546367588,0.0,0.018584208351149045,0.06853999121549134,0.061858950393250775
657,0.006986553387191003,0.009419459849596024,0.008947141316073352,0.0,0.1808204869324498,0.03331391905506087,0.07970273614596715,0.07570398583422659
658,0.002766210354746453,0.0042465925216674805,0.00262205669010155,0.0,0.0,0.018184076668155136,0.03705636871955206,0.030992379378044343
659,0.002766210354746453,0.0056393686681985855,0.0,0.0,0.0,0.006715876335739002,0.04962002685651026,0.04415309842030951
660,0.002766210354746453,0.008899673819541931,0.0003483149202097979,0.0,0.0,0.003763526888456159,0.057169020382072805,0.055398854273890616
661,0.178851339067152,0.14336172908614386,0.18615397144238816,0.29500055797344044,0.26154164585298195,0.034041394161328564,0.03094852164719683,0.025055594937793635
