,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_ARPE19
124,125,18PG,0,1,9.3028,3,10,36,1,8,200,40,10,153.9,0.435666667,-0.845333333,3.0
125,126,18PG,0,1,9.3028,3,10,36,1,12,200,40,10,120.1,0.400666667,-1.69,3.0
127,128,18PG,0,1,9.3028,3,10,36,1,8,200,60,10,192.9,0.356666667,-1.398,3.0
128,129,18PG,0,1,9.3028,3,10,36,1,12,200,60,10,260.3666667,0.331,-0.940666667,3.045
129,130,18PG,0,1,9.3028,3,10,36,1,4,200,80,10,230.6333333,0.313333333,8.696666667,3.0
130,131,18PG,0,1,9.3028,3,10,36,1,8,200,80,10,237.4,0.258666667,-0.939,3.0
131,132,18PG,0,1,9.3028,3,10,36,1,12,200,80,10,208.8333333,0.286,-0.976,4.127
132,133,18PG,0,1,9.3028,3,10,36,1,4,100,20,10,129.5333333,0.231666667,-1.733333333,3.0
135,136,18PG,0,1,9.3028,3,10,36,1,4,100,40,10,181.4666667,0.334,-1.7,3.0
136,137,18PG,0,1,9.3028,3,10,36,1,8,100,40,10,144.4,0.396,-0.988333333,3.0
137,138,18PG,0,1,9.3028,3,10,36,1,12,100,40,10,123.8,0.366333333,-2.643333333,3.0
139,140,18PG,0,1,9.3028,3,10,36,1,8,100,60,10,212.9666667,0.330666667,-0.511666667,3.989
140,141,18PG,0,1,9.3028,3,10,36,1,12,100,60,10,219.6333333,0.313,-1.116666667,3.638
141,142,18PG,0,1,9.3028,3,10,36,1,4,100,80,10,243.4333333,0.302666667,2.933333333,3.0
142,143,18PG,0,1,9.3028,3,10,36,1,8,100,80,10,226.2666667,0.251333333,0.520333333,3.0
143,144,18PG,0,1,9.3028,3,10,36,1,12,100,80,10,262.2333333,0.095333333,-2.67,3.689
144,145,18PG,0,1,9.3028,3,10,36,1,4,50,20,10,135.9333333,0.257333333,-1.596666667,3.0
146,147,18PG,0,1,9.3028,3,10,36,1,12,50,20,10,1599.666667,0.223666667,-2.373333333,3.0
147,148,18PG,0,1,9.3028,3,10,36,1,4,50,40,10,113.75,0.3625,-1.247666667,3.0
148,149,18PG,0,1,9.3028,3,10,36,1,8,50,40,10,142.2666667,0.315,-1.014,3.0
149,150,18PG,0,1,9.3028,3,10,36,1,12,50,40,10,142.3333333,0.393333333,-3.99,3.0
150,151,18PG,0,1,9.3028,3,10,36,1,4,50,60,10,256.9666667,0.289333333,-10.79333333,3.0
151,152,18PG,0,1,9.3028,3,10,36,1,8,50,60,10,205.9333333,0.315,-1.503333333,3.0
152,153,18PG,0,1,9.3028,3,10,36,1,12,50,60,10,184.7,0.339666667,-1.180333333,3.0
153,154,18PG,0,1,9.3028,3,10,36,1,4,50,80,10,244.4333333,0.245,1.269666667,3.0
154,155,18PG,0,1,9.3028,3,10,36,1,8,50,80,10,247.3666667,0.241333333,-1.149666667,3.0
