Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_HEK293
116,18PG,0,1,9.3028,3,10,36,1,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,47.10306297,4.078
117,18PG,0,1,9.3028,3,10,36,1,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,70.65459446,2.741
118,18PG,0,1,9.3028,3,10,36,1,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,19.47574931,2.0
119,18PG,0,1,9.3028,3,10,36,1,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,38.95149861,2.803
120,18PG,0,1,9.3028,3,10,36,1,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,58.42724792,2.674
121,18PG,0,1,9.3028,3,10,36,1,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,35.67187778,3.97
122,18PG,0,1,9.3028,3,10,36,1,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,71.34375556,4.543
123,18PG,0,1,9.3028,3,10,36,1,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,107.0156333,3.676
124,18PG,0,1,9.3028,3,10,36,1,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,18.22177042,4.585
125,18PG,0,1,9.3028,3,10,36,1,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,36.44354084,7.272
126,18PG,0,1,9.3028,3,10,36,1,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,54.66531125,7.583
127,18PG,0,1,9.3028,3,10,36,1,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,12.40506796,4.212
128,18PG,0,1,9.3028,3,10,36,1,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,24.81013593,7.668
129,18PG,0,1,9.3028,3,10,36,1,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,37.21520389,6.919
130,18PG,0,1,9.3028,3,10,36,1,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,9.496716736,4.758
131,18PG,0,1,9.3028,3,10,36,1,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,18.99343347,6.624
132,18PG,0,1,9.3028,3,10,36,1,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,28.49015021,3.738
133,18PG,0,1,9.3028,3,10,36,1,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,35.85741011,3.664
134,18PG,0,1,9.3028,3,10,36,1,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,71.71482022,3.98
135,18PG,0,1,9.3028,3,10,36,1,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,107.5722303,3.902
136,18PG,0,1,9.3028,3,10,36,1,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,18.32048629,4.407
137,18PG,0,1,9.3028,3,10,36,1,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,36.64097258,7.049
138,18PG,0,1,9.3028,3,10,36,1,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,54.96145887,5.715
139,18PG,0,1,9.3028,3,10,36,1,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,12.47484502,4.723
140,18PG,0,1,9.3028,3,10,36,1,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,24.94969004,8.706
141,18PG,0,1,9.3028,3,10,36,1,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,37.42453505,9.002
142,18PG,0,1,9.3028,3,10,36,1,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,9.552024382,6.114
143,18PG,0,1,9.3028,3,10,36,1,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,19.10404876,7.602
144,18PG,0,1,9.3028,3,10,36,1,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,28.65607315,8.837
145,18PG,0,1,9.3028,3,10,36,1,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,36.22847476,4.241
146,18PG,0,1,9.3028,3,10,36,1,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,72.45694953,4.454
147,18PG,0,1,9.3028,3,10,36,1,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,108.6854243,4.714
148,18PG,0,1,9.3028,3,10,36,1,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,18.51791804,6.707
149,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,37.03583607,6.335
150,18PG,0,1,9.3028,3,10,36,1,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,55.55375411,6.452
151,18PG,0,1,9.3028,3,10,36,1,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,12.61439913,5.034
152,18PG,0,1,9.3028,3,10,36,1,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,25.22879825,8.742
153,18PG,0,1,9.3028,3,10,36,1,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,37.84319738,8.485
154,18PG,0,1,9.3028,3,10,36,1,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,9.662639673,6.387
155,18PG,0,1,9.3028,3,10,36,1,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,19.32527935,7.715
156,18PG,0,1,9.3028,3,10,36,1,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,28.98791902,8.171
157,18PG,0,1,9.3028,3,10,36,1,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,39.196992,3.701
158,18PG,0,1,9.3028,3,10,36,1,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,78.393984,3.871
159,18PG,0,1,9.3028,3,10,36,1,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,117.590976,5.617
160,18PG,0,1,9.3028,3,10,36,1,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,20.097372,4.736
161,18PG,0,1,9.3028,3,10,36,1,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,40.194744,6.261
162,18PG,0,1,9.3028,3,10,36,1,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,60.292116,6.118
163,18PG,0,1,9.3028,3,10,36,1,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,13.730832,5.781
164,18PG,0,1,9.3028,3,10,36,1,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,27.461664,8.81
165,18PG,0,1,9.3028,3,10,36,1,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,41.192496,7.845
166,18PG,0,1,9.3028,3,10,36,1,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,10.547562,8.0
167,18PG,0,1,9.3028,3,10,36,1,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,21.095124,9.616
168,18PG,0,1,9.3028,3,10,36,1,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,31.642686,9.782
169,18PG,0,1,9.3028,3,10,36,1,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,72.59281091,2.442
170,18PG,0,1,9.3028,3,10,36,1,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,145.1856218,4.902
171,18PG,0,1,9.3028,3,10,36,1,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,217.7784327,2.079
172,18PG,0,1,9.3028,3,10,36,1,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,37.86622909,3.676
173,18PG,0,1,9.3028,3,10,36,1,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,75.73245818,5.46
174,18PG,0,1,9.3028,3,10,36,1,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,113.5986873,6.318
175,18PG,0,1,9.3028,3,10,36,1,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,26.29070182,6.304
176,18PG,0,1,9.3028,3,10,36,1,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,52.58140364,7.738
177,18PG,0,1,9.3028,3,10,36,1,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,78.87210545,4.771
178,18PG,0,1,9.3028,3,10,36,1,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,20.50293818,3.418
179,18PG,0,1,9.3028,3,10,36,1,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,41.00587636,6.364
180,18PG,0,1,9.3028,3,10,36,1,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,61.50881455,3.951
181,DOPE,1,1,9.784,2,9,36,2,288.9666667,0.464333333,-7.436666667,4,0.199600798,20,0.497512438,26.47303244,6.382
182,DOPE,1,1,9.784,2,9,36,2,533.7,0.403333333,-3.523333333,8,0.199600798,20,0.497512438,52.94606489,7.404
183,DOPE,1,1,9.784,2,9,36,2,342.3333333,0.496333333,-3.396666667,12,0.199600798,20,0.497512438,79.41909733,9.651
184,DOPE,1,1,9.784,2,9,36,2,237.1333333,0.211,-4.23,4,0.199600798,40,0.497512438,14.74686478,2.442
185,DOPE,1,1,9.784,2,9,36,2,185.1333333,0.237333333,-1.803333333,8,0.199600798,40,0.497512438,29.49372956,6.968
186,DOPE,1,1,9.784,2,9,36,2,267.7333333,0.806666667,-2.356666667,12,0.199600798,40,0.497512438,44.24059433,8.02
187,DOPE,1,1,9.784,2,9,36,2,206.6,0.246666667,-5.31,4,0.199600798,60,0.497512438,10.83814222,3.829
188,DOPE,1,1,9.784,2,9,36,2,173.1333333,0.215,0.721666667,8,0.199600798,60,0.497512438,21.67628445,6.341
189,DOPE,1,1,9.784,2,9,36,2,183.6666667,0.260333333,-0.501666667,12,0.199600798,60,0.497512438,32.51442667,10.645
190,DOPE,1,1,9.784,2,9,36,2,166.6333333,0.219666667,-24.63333333,4,0.199600798,80,0.497512438,8.883780946,3.314
191,DOPE,1,1,9.784,2,9,36,2,137.6333333,0.164666667,-6.11,8,0.199600798,80,0.497512438,17.76756189,5.816
192,DOPE,1,1,9.784,2,9,36,2,158.8,0.225333333,-0.955,12,0.199600798,80,0.497512438,26.65134284,5.981
193,DOPE,1,1,9.784,2,9,36,2,577.6666667,0.252,-11.77666667,4,0.199600798,20,0.99009901,26.47905638,8.361
194,DOPE,1,1,9.784,2,9,36,2,562.7666667,0.344333333,-3.553333333,8,0.199600798,20,0.99009901,52.95811276,8.831
195,DOPE,1,1,9.784,2,9,36,2,288.1666667,0.316,-1.593,12,0.199600798,20,0.99009901,79.43716915,8.008
196,DOPE,1,1,9.784,2,9,36,2,240.3,0.260333333,-3.686666667,4,0.199600798,40,0.99009901,14.75288872,2.197
197,DOPE,1,1,9.784,2,9,36,2,191.7333333,0.264,0.269333333,8,0.199600798,40,0.99009901,29.50577744,7.994
198,DOPE,1,1,9.784,2,9,36,2,189.9666667,0.325666667,-2.24,12,0.199600798,40,0.99009901,44.25866615,10.284
