,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
412,1.0,0.0,2.0,8.0,1.0,40.0,500.0,0.11496265172735756
414,1.0,0.0,2.0,4.0,1.0,60.0,500.0,0.11496265172735756
415,1.0,0.0,2.0,8.0,1.0,60.0,500.0,0.2426470588235294
416,1.0,0.0,2.0,12.0,1.0,60.0,500.0,0.11496265172735756
417,1.0,0.0,2.0,4.0,1.0,80.0,500.0,0.11496265172735756
418,1.0,0.0,2.0,8.0,1.0,80.0,500.0,0.11496265172735756
420,1.0,0.0,2.0,4.0,200.0,20.0,100.0,0.11496265172735756
421,1.0,0.0,2.0,8.0,200.0,20.0,100.0,0.11496265172735756
422,1.0,0.0,2.0,12.0,200.0,20.0,100.0,0.11496265172735756
423,1.0,0.0,2.0,4.0,200.0,40.0,100.0,0.11496265172735756
425,1.0,0.0,2.0,12.0,200.0,40.0,100.0,0.11496265172735756
426,1.0,0.0,2.0,4.0,200.0,60.0,100.0,0.11496265172735756
427,1.0,0.0,2.0,8.0,200.0,60.0,100.0,0.08846872082166199
428,1.0,0.0,2.0,12.0,200.0,60.0,100.0,0.11496265172735756
429,1.0,0.0,2.0,4.0,200.0,80.0,100.0,0.11496265172735756
430,1.0,0.0,2.0,8.0,200.0,80.0,100.0,0.06419234360410828
431,1.0,0.0,2.0,12.0,200.0,80.0,100.0,0.11496265172735756
433,1.0,0.0,2.0,8.0,100.0,20.0,100.0,0.11496265172735756
434,1.0,0.0,2.0,12.0,100.0,20.0,100.0,0.11496265172735756
435,1.0,0.0,2.0,4.0,100.0,40.0,100.0,0.11496265172735756
436,1.0,0.0,2.0,8.0,100.0,40.0,100.0,0.11496265172735756
437,1.0,0.0,2.0,12.0,100.0,40.0,100.0,0.11496265172735756
438,1.0,0.0,2.0,4.0,100.0,60.0,100.0,0.11496265172735756
439,1.0,0.0,2.0,8.0,100.0,60.0,100.0,0.27182539682539686
440,1.0,0.0,2.0,12.0,100.0,60.0,100.0,0.11496265172735756
441,1.0,0.0,2.0,4.0,100.0,80.0,100.0,0.1357376283846872
442,1.0,0.0,2.0,8.0,100.0,80.0,100.0,0.072829131652661
443,1.0,0.0,2.0,12.0,100.0,80.0,100.0,0.11496265172735756
445,1.0,0.0,2.0,8.0,50.0,20.0,100.0,0.11496265172735756
447,1.0,0.0,2.0,4.0,50.0,40.0,100.0,0.0954715219421102
448,1.0,0.0,2.0,8.0,50.0,40.0,100.0,0.06419234360410828
450,1.0,0.0,2.0,4.0,50.0,60.0,100.0,0.33380018674136314
451,1.0,0.0,2.0,8.0,50.0,60.0,100.0,0.2655228758169934
452,1.0,0.0,2.0,12.0,50.0,60.0,100.0,0.11496265172735756
