LGBM,XGB,RF,MLP,DT,kNN,PLS,MLR,lasso
0.18685192094921266,0.1395978203004049,0.20551256221853564,0.2183589107184487,0.1036975586631903,0.20450844992507522,0.1616522267397391,0.16429449284646547,0.16943680988993104
0.13605670617607862,0.1373271476419991,0.09274018329778,0.023985339506032155,0.03342024176345104,0.06653780900186862,0.013805632950076197,0.015471130987207371,0.016095700129592883
0.030465029740774863,0.04758073589083539,0.017798253930630947,0.06916911520444896,0.024887414079165726,0.0037810810656852545,0.09571820566584971,0.10459933820599265,0.11843355192250754
0.10759073112599105,0.0856518307464556,0.13711286244765758,0.12640275479368884,0.23524531879592314,0.14269970780265903,0.004408765023222322,0.0019059033254877067,0.04642477568151682
0.04895266058992692,0.13345535443161977,0.006581140870664415,0.03626424142469459,0.31130007110689734,0.13493384592959384,0.10652719212068068,0.10488488727720058,0.09216047731216642
0.2752043222402443,0.3383882657191459,0.2991234099707674,0.2605067882691631,0.27862052619104033,0.023576557868367765,0.12663045829286884,0.12401582679265671,0.07470916610762351
0.03264744547947618,0.02402588725090027,0.15322766058307652,0.20909742177641033,0.21723157146243186,0.5886260008524414,0.2945565418101698,0.29211087954780046,0.3293585281401045
0.013325774449501837,0.020534763469829465,0.013735482341787064,0.058765817855859104,0.01599905190803519,0.04121968408591703,0.048195686406624694,0.0464259525499382,0.01096550520698003
0.0016713166137878321,0.02664357413892976,0.005380421900924248,0.0071790954318003974,0.05119696610571228,0.04105222101285583,0.004861412782903474,0.004387433301747623,0.005904263971672985
0.03598158345414476,0.03247227037820405,0.11272675199494381,0.012480836982349308,0.07252903531642563,0.07506365775413015,0.012435725280643795,0.012592883409973554,0.061983167106007875
