Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,HL_(IL+HL),(IL+HL),Chol_DMG-PEG_ratio,PEG_(Chol+PEG),Size,Zeta,PDI,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
101,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,40,100,0.99009901,202.0333333,-0.022666667,0.364666667,2.251,4.043,4.554,8.45,2.398,1.792
102,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,40,100,0.99009901,192.2666667,-3.43,0.267,3.784,4.111,4.344,9.234,2.442,1.386
103,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,60,100,0.99009901,176.8,-13.4,0.353333333,2.442,5.82,4.673,11.024,1.504,1.946
104,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,60,100,0.99009901,293.4666667,-1.985333333,0.390666667,2.303,5.635,4.852,8.867,1.609,1.609
105,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,60,100,0.99009901,281.8333333,-3.243333333,0.217333333,3.135,3.135,4.205,10.038,2.303,1.253
106,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,80,100,0.99009901,496.8666667,-1.304,0.153666667,1.504,6.109,4.595,5.541,1.386,1.386
107,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,80,100,0.99009901,526.7333333,-0.888,0.369,2.833,4.868,4.963,10.398,1.386,1.504
108,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,80,100,0.99009901,501.1333333,-0.417666667,0.277,1.946,4.736,4.796,10.646,1.609,1.099
109,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,20,100,0.99009901,237.7333333,-6.72,0.221,1.705,1.099,1.386,3.773,1.705,1.253
110,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,20,100,0.99009901,154.0666667,-5.936666667,0.200333333,0.916,1.386,0.693,4.828,1.253,2.015
111,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,20,100,0.99009901,185.1,-3.736666667,0.109,1.386,1.099,1.609,2.14,1.386,1.609
112,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,40,100,0.99009901,196.1666667,-7.57,0.203333333,1.792,1.946,1.099,3.178,1.504,1.609
113,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,40,100,0.99009901,298.0333333,-4.593333333,0.1,1.386,1.099,1.386,2.565,1.386,1.872
114,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,40,100,0.99009901,189.2333333,-1.266666667,0.111,1.253,1.386,1.792,2.674,1.253,1.504
115,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,60,100,0.99009901,241.5,-16.4,0.106333333,5.075,1.386,1.609,8.939,2.015,1.253
116,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,60,100,0.99009901,249.8,-1.483333333,0.209,1.386,1.386,1.099,4.078,1.609,1.386
117,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,60,100,0.99009901,346.5,-0.622,0.061666667,1.504,1.609,1.792,2.741,1.253,1.705
