Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Helper_MW,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,Size,Zeta,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
65,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,40,100,0.307020903,49.34438788,44.34884297,2.877828708,3.121919543,#N/A,#N/A,4.234,3.178,5.347,9.759,2.89,1.253
66,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,40,100,0.310249483,49.86328509,44.81520788,2.908091467,2.103166079,#N/A,#N/A,3.135,4.344,3.584,9.91,2.14,1.099
67,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,60,100,0.399325464,64.17957348,25.63650609,1.663571545,8.121023415,#N/A,#N/A,4.167,5.313,2.89,9.788,2.251,1.253
68,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,60,100,0.416226385,66.89588888,26.72153724,1.733980006,4.232367485,#N/A,#N/A,3.314,4.554,3.497,10.054,1.386,1.386
69,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,60,100,0.42218249,67.85315382,27.10391636,1.758792865,2.861954467,#N/A,#N/A,3.57,5.278,1.792,11.208,1.253,1.099
70,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,200,80,100,0.481477857,77.38310298,11.59149409,0.752180491,9.791744587,#N/A,#N/A,1.872,4.682,1.946,8.416,0.916,0.916
71,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,200,80,100,0.506263891,81.36671335,12.18821345,0.790902045,5.147907259,#N/A,#N/A,2.485,3.497,1.609,10.519,1.253,0.916
72,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,200,80,100,0.515102897,82.78731814,12.40101097,0.80471063,3.491857365,#N/A,#N/A,2.603,5.136,1.946,12.319,1.792,1.099
73,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,100,20,100,0.335970441,26.99857826,65.02935811,4.219802392,3.416290797,#N/A,#N/A,1.946,5.908,5.338,8.725,2.996,0.405
74,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,100,20,100,0.341809036,27.46776767,66.15945785,4.293135387,1.737830063,#N/A,#N/A,1.705,5.13,5.05,7.148,3.418,1.386
75,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,100,20,100,0.343800593,27.62780913,66.54493715,4.31814942,1.165303708,#N/A,#N/A,1.946,4.443,3.689,8.766,1.705,1.705
76,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,100,40,100,0.592339099,47.6003588,42.99421921,2.789926186,6.023156706,#N/A,#N/A,2.97,5.407,4.673,9.07,1.705,1.099
77,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,100,40,100,0.610731765,49.07839306,44.32922866,2.876555922,3.105090589,#N/A,#N/A,3.114,4.625,3.434,9.798,2.674,1.386
78,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,100,40,100,0.617119134,49.59168195,44.79284817,2.906640529,2.091710225,#N/A,#N/A,3.114,4.654,3.584,10.032,1.792,1.099
79,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,100,60,100,0.794399724,63.83794679,25.62690933,1.662948804,8.077795356,#N/A,#N/A,2.708,4.575,1.609,10.357,1.609,0.916
80,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,100,60,100,0.827835138,66.52481604,26.70551787,1.732940498,4.208890457,#N/A,#N/A,2.639,4.736,2.89,10.134,1.946,0.916
81,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,100,60,100,0.839614625,67.47141536,27.0855178,1.757598969,2.845853253,#N/A,#N/A,3.45,5.13,1.946,11.444,1.705,1.705
82,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,100,80,100,0.95775616,76.96526687,11.58626265,0.751841019,9.738873298,#N/A,#N/A,1.609,5.056,1.609,8.579,1.386,1.099
83,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,100,80,100,1.006780709,80.90487869,12.17932727,0.790325414,5.118687914,#N/A,#N/A,1.872,4.205,1.386,6.127,1.253,1.099
84,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,100,80,100,1.02425688,82.30926346,12.39074174,0.804044253,3.471693664,#N/A,#N/A,2.996,5.165,1.792,12.586,0.916,0.693
85,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,50,20,100,0.665145715,26.72554853,65.00907671,4.218486318,3.381742721,#N/A,#N/A,1.705,6.014,5.056,8.454,3.135,1.253
86,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,20,100,0.676585912,27.18521556,66.12720264,4.291042323,1.719953563,#N/A,#N/A,1.946,5.198,5.394,7.951,2.197,1.386
87,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,20,100,0.680487267,27.34197197,66.50850779,4.315785492,1.153247482,#N/A,#N/A,1.253,4.511,3.892,8.79,1.946,1.253
88,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,50,40,100,1.172418831,47.10777752,42.97058373,2.788392463,5.960827465,#N/A,#N/A,1.946,5.714,5.62,9.014,1.872,1.609
89,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,40,100,1.208435199,48.55491487,44.29062767,2.874051076,3.071971183,#N/A,#N/A,1.705,5.17,5.03,9.952,2.14,0.693
90,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,40,100,1.220937482,49.05725646,44.74885162,2.903785561,2.069168879,#N/A,#N/A,1.705,4.927,3.258,10.517,2.603,1.099
