Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_PC3
154,18PG,0,1,9.3028,3,10,36,1,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,9.662639673,2.0
155,18PG,0,1,9.3028,3,10,36,1,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,19.32527935,2.0
156,18PG,0,1,9.3028,3,10,36,1,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,28.98791902,2.0
157,18PG,0,1,9.3028,3,10,36,1,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,39.196992,2.0
158,18PG,0,1,9.3028,3,10,36,1,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,78.393984,2.0
159,18PG,0,1,9.3028,3,10,36,1,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,117.590976,2.0
160,18PG,0,1,9.3028,3,10,36,1,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,20.097372,2.0
161,18PG,0,1,9.3028,3,10,36,1,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,40.194744,2.0
162,18PG,0,1,9.3028,3,10,36,1,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,60.292116,2.0
163,18PG,0,1,9.3028,3,10,36,1,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,13.730832,2.0
164,18PG,0,1,9.3028,3,10,36,1,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,27.461664,2.0
165,18PG,0,1,9.3028,3,10,36,1,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,41.192496,2.0
166,18PG,0,1,9.3028,3,10,36,1,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,10.547562,2.0
167,18PG,0,1,9.3028,3,10,36,1,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,21.095124,2.0
168,18PG,0,1,9.3028,3,10,36,1,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,31.642686,2.0
169,18PG,0,1,9.3028,3,10,36,1,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,72.59281091,2.0
170,18PG,0,1,9.3028,3,10,36,1,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,145.1856218,2.0
171,18PG,0,1,9.3028,3,10,36,1,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,217.7784327,2.0
172,18PG,0,1,9.3028,3,10,36,1,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,37.86622909,2.0
173,18PG,0,1,9.3028,3,10,36,1,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,75.73245818,2.197
174,18PG,0,1,9.3028,3,10,36,1,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,113.5986873,2.0
175,18PG,0,1,9.3028,3,10,36,1,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,26.29070182,2.0
176,18PG,0,1,9.3028,3,10,36,1,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,52.58140364,2.0
177,18PG,0,1,9.3028,3,10,36,1,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,78.87210545,2.0
178,18PG,0,1,9.3028,3,10,36,1,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,20.50293818,2.0
179,18PG,0,1,9.3028,3,10,36,1,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,41.00587636,2.0
180,18PG,0,1,9.3028,3,10,36,1,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,61.50881455,2.0
181,DOPE,1,1,9.784,2,9,36,2,288.9666667,0.464333333,-7.436666667,4,0.199600798,20,0.497512438,26.47303244,2.079
182,DOPE,1,1,9.784,2,9,36,2,533.7,0.403333333,-3.523333333,8,0.199600798,20,0.497512438,52.94606489,2.0
183,DOPE,1,1,9.784,2,9,36,2,342.3333333,0.496333333,-3.396666667,12,0.199600798,20,0.497512438,79.41909733,2.89
184,DOPE,1,1,9.784,2,9,36,2,237.1333333,0.211,-4.23,4,0.199600798,40,0.497512438,14.74686478,2.0
185,DOPE,1,1,9.784,2,9,36,2,185.1333333,0.237333333,-1.803333333,8,0.199600798,40,0.497512438,29.49372956,2.079
186,DOPE,1,1,9.784,2,9,36,2,267.7333333,0.806666667,-2.356666667,12,0.199600798,40,0.497512438,44.24059433,2.0
187,DOPE,1,1,9.784,2,9,36,2,206.6,0.246666667,-5.31,4,0.199600798,60,0.497512438,10.83814222,2.0
188,DOPE,1,1,9.784,2,9,36,2,173.1333333,0.215,0.721666667,8,0.199600798,60,0.497512438,21.67628445,3.784
189,DOPE,1,1,9.784,2,9,36,2,183.6666667,0.260333333,-0.501666667,12,0.199600798,60,0.497512438,32.51442667,2.0
190,DOPE,1,1,9.784,2,9,36,2,166.6333333,0.219666667,-24.63333333,4,0.199600798,80,0.497512438,8.883780946,2.0
191,DOPE,1,1,9.784,2,9,36,2,137.6333333,0.164666667,-6.11,8,0.199600798,80,0.497512438,17.76756189,2.0
192,DOPE,1,1,9.784,2,9,36,2,158.8,0.225333333,-0.955,12,0.199600798,80,0.497512438,26.65134284,2.0
193,DOPE,1,1,9.784,2,9,36,2,577.6666667,0.252,-11.77666667,4,0.199600798,20,0.99009901,26.47905638,3.584
194,DOPE,1,1,9.784,2,9,36,2,562.7666667,0.344333333,-3.553333333,8,0.199600798,20,0.99009901,52.95811276,5.05
195,DOPE,1,1,9.784,2,9,36,2,288.1666667,0.316,-1.593,12,0.199600798,20,0.99009901,79.43716915,2.639
196,DOPE,1,1,9.784,2,9,36,2,240.3,0.260333333,-3.686666667,4,0.199600798,40,0.99009901,14.75288872,2.0
197,DOPE,1,1,9.784,2,9,36,2,191.7333333,0.264,0.269333333,8,0.199600798,40,0.99009901,29.50577744,2.0
