Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HepG2
116,18PG,0,1,9.3028,3,10,36,1,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,1.5
117,18PG,0,1,9.3028,3,10,36,1,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,1.504
118,18PG,0,1,9.3028,3,10,36,1,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,1.504
119,18PG,0,1,9.3028,3,10,36,1,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,1.504
120,18PG,0,1,9.3028,3,10,36,1,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,1.5
121,18PG,0,1,9.3028,3,10,36,1,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,1.5
122,18PG,0,1,9.3028,3,10,36,1,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,1.5
123,18PG,0,1,9.3028,3,10,36,1,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,1.5
124,18PG,0,1,9.3028,3,10,36,1,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,1.504
125,18PG,0,1,9.3028,3,10,36,1,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,2.674
126,18PG,0,1,9.3028,3,10,36,1,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,2.14
127,18PG,0,1,9.3028,3,10,36,1,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,1.5
128,18PG,0,1,9.3028,3,10,36,1,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,2.197
129,18PG,0,1,9.3028,3,10,36,1,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,2.015
130,18PG,0,1,9.3028,3,10,36,1,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,1.5
131,18PG,0,1,9.3028,3,10,36,1,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,1.5
132,18PG,0,1,9.3028,3,10,36,1,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,1.5
133,18PG,0,1,9.3028,3,10,36,1,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,1.504
134,18PG,0,1,9.3028,3,10,36,1,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,1.5
135,18PG,0,1,9.3028,3,10,36,1,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,1.5
136,18PG,0,1,9.3028,3,10,36,1,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,1.5
137,18PG,0,1,9.3028,3,10,36,1,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,1.5
138,18PG,0,1,9.3028,3,10,36,1,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,1.5
139,18PG,0,1,9.3028,3,10,36,1,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,1.5
140,18PG,0,1,9.3028,3,10,36,1,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,1.872
141,18PG,0,1,9.3028,3,10,36,1,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,2.639
142,18PG,0,1,9.3028,3,10,36,1,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,1.792
143,18PG,0,1,9.3028,3,10,36,1,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,1.872
144,18PG,0,1,9.3028,3,10,36,1,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,2.14
145,18PG,0,1,9.3028,3,10,36,1,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,1.5
146,18PG,0,1,9.3028,3,10,36,1,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,1.5
147,18PG,0,1,9.3028,3,10,36,1,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,1.5
148,18PG,0,1,9.3028,3,10,36,1,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,1.5
149,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,1.5
150,18PG,0,1,9.3028,3,10,36,1,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,1.5
151,18PG,0,1,9.3028,3,10,36,1,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,1.5
152,18PG,0,1,9.3028,3,10,36,1,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,2.398
153,18PG,0,1,9.3028,3,10,36,1,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,2.303
154,18PG,0,1,9.3028,3,10,36,1,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,1.504
155,18PG,0,1,9.3028,3,10,36,1,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,2.015
156,18PG,0,1,9.3028,3,10,36,1,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,2.251
157,18PG,0,1,9.3028,3,10,36,1,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,1.705
158,18PG,0,1,9.3028,3,10,36,1,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,1.792
159,18PG,0,1,9.3028,3,10,36,1,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,1.5
160,18PG,0,1,9.3028,3,10,36,1,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,1.5
161,18PG,0,1,9.3028,3,10,36,1,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,1.5
